outcome,outcome_variable,n,r2_baseline,r2_with_ucla,delta_r2,ucla_beta,ucla_p,ucla_significant
WCST Perseverative Error,pe_rate,185,0.016050378151587386,0.017284592556417233,0.0012342144048298476,-0.21366294889472018,0.6359768846864612,False
PRP Bottleneck Effect,prp_bottleneck,185,0.015618966373495025,0.046893782608293466,0.03127481623479844,36.32215866932062,0.016364852497449234,True
Stroop Interference,stroop_interference,185,0.025210142883289488,0.03501873453296589,0.009808591649676401,13.865629022265422,0.1790823634619024,False
