participant_id,stroop_interference,wcst_pe_rate,wcst_total_errors,prp_bottleneck,ucla_total,age,gender,education,gender_coded,z_ucla,z_age,ucla_x_gender,z_stroop,z_wcst_pe,ef_composite,distance_from_healthy,cluster,is_wcst_impaired
7QYZfcjgZHcVB941oHiLGGPTk7U2,230.0,0.0945945945945946,11.0,806.0,25.0,36,female,대학원 재학,-1,-1.3546488172789244,5.757809259753163,1.3546488172789244,0.9217083562373128,-0.29164601798421175,0.31503116912655055,1.4937248656397082,1.0,0
GE4hogtdLdTFbNasENgtm6SO3hC3,167.0,0.04477611940298507,7.0,518.0,56.0,19,female,대학교 재학,-1,1.1953396173990816,-0.6223374694947725,-1.1953396173990816,0.280659936869914,-1.3504383839540344,-0.5348892235420601,1.149166487087628,0.0,0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,293.0,0.16831683168316833,24.0,730.0,54.0,24,female,대학교 재학,-1,1.0308242345166294,1.254176274401679,-1.0308242345166294,1.5627567756047116,1.275173149631451,1.4189649626180811,2.794134875977928,1.0,0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,74.0,0.07042253521126761,10.0,564.0,56.0,20,female,대학원 재학,-1,1.1953396173990816,-0.24703472071548221,-1.1953396173990816,-0.6656496345771986,-0.8053749477918881,-0.7355122911845433,0.27644708518407163,0.0,0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,397.0,0.10112359550561797,15.0,852.0,43.0,20,female,대학교 재학,-1,0.12598962866314356,-0.24703472071548221,-0.12598962866314356,2.620995436147719,-0.15288512063812368,1.2340551577547976,3.1950229654999656,1.0,0
xyAILKfYP2M8GqAai11x6NT7IcP2,204.0,0.09876543209876543,13.0,935.0,35.0,24,male,대학교 재학,1,-0.5320719028666644,1.254176274401679,-0.5320719028666644,0.6571486911015609,-0.2030031823267195,0.22707275438742072,1.2560856835027776,1.0,0
pcbRW89vVJcviD87V3uxyG4I9st2,91.0,0.028169014084507043,4.0,392.0,33.0,18,male,대학교 재학,1,-0.6965872857491164,-0.9976402182740628,-0.6965872857491164,-0.49266831506536085,-1.7033892975344402,-1.0980288062999006,1.1498368107412966,0.0,0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,317.0,0.061224489795918366,28.0,873.0,42.0,20,female,대학교 재학,-1,0.04373193722191756,-0.24703472071548221,-0.04373193722191756,1.8069656972684827,-1.000861064742648,0.4030523162629174,2.3974386832388,1.0,0
yatBVTBMCSMp0wJluOCLzTFKMyP2,34.0,0.10989010989010989,24.0,825.0,35.0,21,female,대학교 재학,-1,-0.5320719028666644,0.1282680280638081,0.5320719028666644,-1.072664504016817,0.03342966460500124,-0.5196174197059079,0.7878825362818405,0.0,0
u64Uf920g5VD9Byq26LT2rs5o4t1,98.0,0.1308411214953271,17.0,622.0,34.0,21,male,대학교 재학,1,-0.6143295943078904,0.1282680280638081,-0.6143295943078904,-0.42144071291342766,0.47870164576521895,0.028630466425895645,1.041413322599362,0.0,0
