metric,interaction_beta,male_r,male_p,female_r,female_p,male_n,female_n
stroop_interference,0.0570826063979446,0.08692289841544597,0.6419602806058535,-0.04835370362270458,0.74414847727922,31,48
wcst_pe_rate,0.22039590253329933,0.22464879014143932,0.22436792198674554,-0.2192650547268793,0.13430015466434525,31,48
ef_composite,0.13873925446562196,,,,,31,48
distance_from_healthy,0.13174226289851015,,,,,31,48
