participant_id,rule,n_trials,learning_slope,learning_r,learning_p,trials_to_criterion,first_half_accuracy,second_half_accuracy,accuracy_improvement,overall_accuracy,pe_rate
06qcrpGKL6Vc3LVplFQC90VAcRm1,colour,26,0.061524334251606985,0.5944118626141068,0.0013637804673679978,4.0,0.7692307692307693,0.8461538461538461,0.07692307692307687,0.8076923076923077,7.6923076923076925
06qcrpGKL6Vc3LVplFQC90VAcRm1,shape,25,0.058304752572268484,0.5747987455705879,0.0026516736458873876,3.0,0.8333333333333334,0.8461538461538461,0.012820512820512775,0.84,16.0
06qcrpGKL6Vc3LVplFQC90VAcRm1,number,31,0.023525280898876396,0.38202600990381474,0.03393768278459977,1.0,0.8,0.9375,0.13749999999999996,0.8709677419354839,9.67741935483871
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,colour,23,0.0277603513174404,0.3420380855703669,0.11015561752959084,0.0,1.0,0.8333333333333334,-0.16666666666666663,0.9130434782608695,4.3478260869565215
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,shape,26,0.034814814814814805,0.4355634426970005,0.02614126366803942,5.0,0.8461538461538461,0.9230769230769231,0.07692307692307698,0.8846153846153846,11.538461538461538
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,number,28,0.04658058936183357,0.5158235866716807,0.004960335288261406,7.0,0.6428571428571429,0.9285714285714286,0.2857142857142857,0.7857142857142857,14.285714285714285
0d841i8KPjdjwCYfDuUUXj0SEjH2,colour,23,0.047051442910915946,0.48503320974401315,0.01898337817885312,3.0,0.7272727272727273,1.0,0.2727272727272727,0.8695652173913043,0.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,shape,23,0.0580997949419002,0.5737875663844892,0.004199758289159177,2.0,0.8181818181818182,0.9166666666666666,0.0984848484848484,0.8695652173913043,8.695652173913043
0d841i8KPjdjwCYfDuUUXj0SEjH2,number,22,0.045454545454545456,0.5000000000000001,0.017806558607844625,1.0,0.9090909090909091,0.9090909090909091,0.0,0.9090909090909091,4.545454545454546
0oa5NYVnIBS9NmrmRAZrahXDctP2,colour,25,0.061366976972072496,0.6049877553169422,0.0013558481067361004,3.0,0.8333333333333334,0.8461538461538461,0.012820512820512775,0.84,4.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,shape,25,0.06136697697207251,0.6049877553169425,0.0013558481067360917,2.0,0.8333333333333334,0.8461538461538461,0.012820512820512775,0.84,12.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,number,23,0.03742310321257689,0.4417405940884078,0.034831224327026324,2.0,0.9090909090909091,0.9166666666666666,0.007575757575757569,0.9130434782608695,8.695652173913043
146QT9LupyU2BAiTsB3PMIpVXM22,colour,24,0.035999999999999976,0.4056740422696876,0.049205951513703085,0.0,0.9166666666666666,0.8333333333333334,-0.08333333333333326,0.875,8.333333333333332
146QT9LupyU2BAiTsB3PMIpVXM22,shape,25,0.03847905282331511,0.44391372104444204,0.026220816621114116,1.0,0.9166666666666666,0.8461538461538461,-0.07051282051282048,0.88,8.0
146QT9LupyU2BAiTsB3PMIpVXM22,number,28,0.027287993282955496,0.37669293206983395,0.04817028501080472,2.0,0.8571428571428571,0.9285714285714286,0.07142857142857151,0.8928571428571429,10.714285714285714
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,colour,24,0.0643266675989372,0.6081762398301077,0.0016162497487926387,1.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,12.5
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,shape,23,0.0580997949419002,0.5737875663844891,0.004199758289159186,1.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,8.695652173913043
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,number,22,0.045454545454545456,0.5000000000000001,0.017806558607844625,1.0,0.9090909090909091,0.9090909090909091,0.0,0.9090909090909091,4.545454545454546
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,colour,26,0.04240740740740741,0.46979919057111985,0.015451945029224064,5.0,0.7692307692307693,0.9230769230769231,0.15384615384615385,0.8461538461538461,3.8461538461538463
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,shape,23,0.0580997949419002,0.5737875663844891,0.004199758289159186,1.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,8.695652173913043
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,number,23,0.0580997949419002,0.5737875663844891,0.004199758289159186,1.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,13.043478260869565
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,colour,23,0.037423103212576886,0.44174059408840777,0.034831224327026324,1.0,0.9090909090909091,0.9166666666666666,0.007575757575757569,0.9130434782608695,4.3478260869565215
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,shape,26,0.029999999999999992,0.37532594530273444,0.05883665551430869,5.0,0.8461538461538461,0.9230769230769231,0.07692307692307698,0.8846153846153846,7.6923076923076925
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,number,39,0.009100862186944026,0.20668942352037345,0.20678194488186427,2.0,0.8421052631578947,0.9,0.05789473684210533,0.8717948717948718,10.256410256410255
23AEyocWhqY955WHbxhHRSgQ1ms2,colour,23,0.0580997949419002,0.5737875663844891,0.004199758289159186,1.0,0.9090909090909091,0.8333333333333334,-0.07575757575757569,0.8695652173913043,8.695652173913043
