model,path,description,n,aic,bic,cfi,rmsea,chi2,dof,a_path,b_path,indirect,a_p,b_p,rank_aic,rank_bic,rank_cfi,rank_rmsea,rank_composite
Model1_CLA,C → L → A,인지기능 → 외로움 → 불안,196,15.996571900483113,42.221489174327246,1.1068008084627659,0.0,0.33595375265489835,7,-0.05685673340346653,0.47665644832638604,-0.02710112860753655,0.617354577863517,6.972200594645983e-14,2.0,2.0,3.0,2.0,2.25
Model3_LAC,L → A → C,외로움 → 불안 → 인지기능,196,15.99971385566295,42.22463112950708,1.1117355440593188,0.0,0.028042145030974908,7,0.4767184358026218,-0.033057527960662865,-0.015759133020908634,6.927791673660977e-14,0.4552623304005943,3.0,3.0,2.0,2.0,2.5
Model4_LCA,L → C → A,외로움 → 인지기능 → 불안,196,15.499058053096213,41.72397532694035,0.3254108321643483,0.1756042645451005,49.092310796571,7,-0.02237626855627083,-0.08575609396154431,0.0019189013888203106,0.6172803391459292,0.455462456701752,1.0,1.0,4.0,4.0,2.5
Model2_CAL,C → A → L,인지기능 → 불안 → 외로움,196,15.999713977608435,42.22463125145257,1.111735720939146,0.0,0.028030194373375394,7,-0.08600370993606204,0.46669569738632455,-0.04013756138642165,0.4542151719102123,6.994405055138486e-14,4.0,4.0,1.0,2.0,2.75
