model,model_path,path,exog_to_med,male_mean,male_se,male_ci_lower,male_ci_upper,female_mean,female_se,female_ci_lower,female_ci_upper,diff,se_diff,z_stat,p_value
Model1_CLA,C → L → A,a-path,ef_composite → z_ucla,0.21790738780758576,0.1845351623628996,-0.1520074992697038,0.5742421518876549,-0.18136688229737433,0.12245656006199826,-0.4287983283577025,0.05224988517954059,0.3992742701049601,0.221469716328259,1.802839127283488,0.07141348328041008
Model1_CLA,C → L → A,b-path,z_ucla → z_dass_anx,0.4787538871454077,0.12454654817229242,0.23828612483213502,0.7353282793366156,0.4699056985365005,0.0987223851080764,0.2780106700361477,0.665439513366811,0.008848188608907182,0.1589275054326988,0.055674369171132145,0.9556012182623446
Model1_CLA,C → L → A,indirect,a × b,0.10634148917346171,0.09699338071020491,-0.06904047602895799,0.31767562143218725,-0.08457902282833041,0.059766627642400726,-0.21011381978336785,0.024200850592195622,0.1909205120017921,0.11392877459772895,1.6757883394771274,0.09377965893800466
Model2_CAL,C → A → L,a-path,ef_composite → z_dass_anx,0.18226154026401784,0.21746571087594116,-0.21565763808252136,0.6366482686227034,-0.17850977338546653,0.12036268196030989,-0.4210100658820037,0.058622563327552536,0.36077131364948434,0.24855283264420291,1.451487435534156,0.14664417839594046
Model2_CAL,C → A → L,b-path,z_dass_anx → z_ucla,0.4951206319063367,0.10837800180431637,0.2816259863889242,0.7072671546711204,0.4565456425163746,0.07721367739674309,0.3029757943680081,0.6072836768801846,0.03857498938996212,0.1330704446983804,0.2898839744422348,0.7719050020282134
Model2_CAL,C → A → L,indirect,a × b,0.08852977003500109,0.10749344765993933,-0.10842080151889055,0.31968523563643253,-0.08137663238754332,0.05742411159936027,-0.2035261009199573,0.026254228858524745,0.1699064024225444,0.12187029942851499,1.3941575857225639,0.16327002284242798
Model3_LAC,L → A → C,a-path,z_ucla → z_dass_anx,0.4814210006764194,0.12296008673247201,0.24874326173214822,0.7267312368735791,0.47006661705124336,0.09852658119829281,0.27870788147187464,0.6654751005545886,0.011354383625176045,0.1575648124800738,0.072061670664013,0.9425528292680423
Model3_LAC,L → A → C,b-path,z_dass_anx → ef_composite,0.05683093512632979,0.06612645953119022,-0.07214357577080904,0.185275967577748,-0.07613438991521151,0.05102577247337138,-0.17525541529256075,0.02637532088262182,0.1329653250415413,0.08352447609314531,1.5919324641229746,0.11139988015958657
Model3_LAC,L → A → C,indirect,a × b,0.029109310299437766,0.034502848069710275,-0.030366124777330694,0.10281462257239599,-0.03571818539768809,0.025126153227340978,-0.08808855908578718,0.01151243564366535,0.06482749569712586,0.04268219887640897,1.5188415171589693,0.12880239272559302
Model4_LCA,L → C → A,a-path,z_ucla → ef_composite,0.06867385734494341,0.05945533220486721,-0.042598900660447615,0.18912057479846944,-0.07579300378559206,0.05042134795074331,-0.17091141843379068,0.026487866865751476,0.14446686113053547,0.0779567114285938,1.8531677194062135,0.06385832293264682
Model4_LCA,L → C → A,b-path,ef_composite → z_dass_anx,0.18391930082043673,0.22735368777566053,-0.22676112052541342,0.6756378069337555,-0.17777865393242528,0.12140890462934278,-0.41006302336719913,0.06275271246622521,0.36169795475286204,0.25773983291002844,1.4033451898726232,0.16051392876069825
Model4_LCA,L → C → A,indirect,a × b,0.01976478926865806,0.028448814576568008,-0.009332105684467117,0.09893571728696708,0.01566943797897021,0.015780473783347355,-0.0042483403374280184,0.05424001019061755,0.004095351289687851,0.03253242080815477,0.12588523042408467,0.8998227740768308
