,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[131],0.118,1.451,-2.943,2.829,0.123,0.09,128.0,435.0,1.05
dass_latent[132],0.15,1.571,-2.999,3.121,0.121,0.099,160.0,462.0,1.04
dass_latent[133],0.1,1.853,-3.225,3.728,0.185,0.059,100.0,236.0,1.03
dass_latent[134],0.025,1.146,-2.187,2.276,0.063,0.04,302.0,824.0,1.01
dass_latent[135],-0.378,3.738,-7.192,7.263,0.415,0.251,77.0,310.0,1.09
dass_latent[136],-0.019,1.39,-2.851,2.587,0.113,0.055,143.0,398.0,1.03
dass_latent[137],-0.075,1.074,-2.144,2.007,0.038,0.041,689.0,1607.0,1.01
dass_latent[138],0.027,1.74,-3.189,3.484,0.093,0.044,266.0,1826.0,1.02
dass_latent[139],0.041,1.735,-3.155,3.451,0.174,0.065,93.0,509.0,1.03
dass_latent[140],0.068,1.163,-2.143,2.322,0.069,0.053,255.0,828.0,1.03
dass_latent[141],0.082,1.599,-2.755,3.25,0.132,0.051,135.0,384.0,1.03
dass_latent[142],0.016,1.859,-3.585,3.534,0.069,0.046,678.0,1482.0,1.01
dass_latent[143],0.093,1.199,-2.186,2.506,0.043,0.046,720.0,684.0,1.01
dass_latent[144],-0.036,1.046,-2.013,2.122,0.018,0.044,2449.0,1719.0,1.02
dass_latent[145],-0.056,1.045,-2.121,1.974,0.017,0.045,2228.0,2191.0,1.02
dass_latent[146],0.099,1.802,-2.895,4.02,0.11,0.074,224.0,197.0,1.02
dass_latent[147],-0.003,1.951,-3.607,3.875,0.073,0.047,670.0,1618.0,1.01
dass_latent[148],0.043,1.62,-3.118,2.952,0.112,0.042,174.0,2264.0,1.02
dass_latent[149],-0.06,1.056,-2.214,1.977,0.022,0.041,1510.0,2156.0,1.02
dass_latent[150],0.0,2.17,-4.203,4.027,0.09,0.066,549.0,1303.0,1.02
dass_latent[151],0.104,1.369,-2.532,2.7,0.115,0.063,130.0,479.0,1.03
dass_latent[152],-0.003,1.255,-2.542,2.31,0.086,0.048,189.0,842.0,1.02
dass_latent[153],0.022,1.391,-2.661,2.719,0.117,0.061,125.0,589.0,1.02
dass_latent[154],-0.062,1.131,-2.357,2.041,0.038,0.042,730.0,969.0,1.01
dass_latent[155],0.037,1.603,-3.072,2.865,0.11,0.046,183.0,2503.0,1.02
dass_latent[156],-0.013,1.618,-3.058,3.102,0.044,0.046,1229.0,2270.0,1.01
