,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.222,0.066,-0.355,-0.103,0.003,0.001,580.0,772.0,1.01
gender_coef,0.074,1.003,-1.799,1.976,0.039,0.012,667.0,3989.0,1.01
ucla_dass_coef,-0.051,0.483,-0.902,0.872,0.142,0.027,12.0,122.0,1.24
gender_dass_coef,0.017,0.96,-1.843,1.727,0.065,0.03,221.0,338.0,1.02
interaction_dass,0.022,0.874,-1.47,1.699,0.128,0.02,48.0,1130.0,1.06
dass_latent[0],-0.163,1.277,-2.731,2.278,0.108,0.089,147.0,272.0,1.03
dass_latent[1],-0.165,1.27,-2.681,2.27,0.103,0.081,143.0,261.0,1.03
dass_latent[2],-0.169,1.27,-2.649,2.307,0.097,0.083,170.0,278.0,1.03
dass_latent[3],-0.295,1.795,-3.734,3.127,0.504,0.126,11.0,83.0,1.25
dass_latent[4],-0.291,1.762,-3.771,2.991,0.491,0.126,12.0,83.0,1.24
dass_latent[5],-0.293,1.756,-3.71,3.016,0.489,0.122,12.0,83.0,1.25
dass_latent[6],0.269,1.519,-2.575,3.397,0.313,0.103,21.0,121.0,1.13
dass_latent[7],0.283,1.521,-2.63,3.327,0.309,0.098,22.0,108.0,1.12
dass_latent[8],0.281,1.533,-2.801,3.265,0.311,0.108,22.0,115.0,1.12
dass_latent[9],-0.168,1.365,-2.855,2.361,0.321,0.113,16.0,120.0,1.17
dass_latent[10],-0.173,1.358,-2.94,2.31,0.326,0.086,15.0,120.0,1.17
dass_latent[11],-0.173,1.362,-2.794,2.452,0.328,0.087,15.0,114.0,1.18
dass_latent[12],-0.031,0.944,-1.937,1.805,0.024,0.077,615.0,538.0,1.02
dass_latent[13],-0.039,0.98,-1.883,1.934,0.042,0.073,366.0,596.0,1.02
dass_latent[14],-0.021,0.96,-1.991,1.789,0.034,0.075,531.0,554.0,1.02
dass_latent[15],0.029,1.622,-2.969,2.954,0.097,0.092,257.0,910.0,1.02
dass_latent[16],0.033,1.582,-3.106,2.737,0.091,0.081,279.0,691.0,1.02
dass_latent[17],0.018,1.596,-2.956,2.939,0.083,0.1,324.0,833.0,1.02
dass_latent[18],0.084,2.273,-4.187,4.314,0.256,0.136,77.0,255.0,1.04
dass_latent[19],0.074,2.26,-4.143,4.248,0.245,0.114,82.0,502.0,1.04
dass_latent[20],0.069,2.253,-4.164,4.258,0.246,0.12,80.0,283.0,1.04
dass_latent[21],-0.188,1.273,-2.678,2.263,0.273,0.094,19.0,110.0,1.14
dass_latent[22],-0.18,1.281,-2.822,2.176,0.273,0.093,19.0,115.0,1.14
dass_latent[23],-0.189,1.272,-2.851,2.155,0.272,0.095,19.0,99.0,1.14
dass_latent[24],0.027,0.995,-1.902,1.943,0.063,0.065,208.0,581.0,1.02
dass_latent[25],0.032,0.985,-1.913,1.917,0.071,0.069,153.0,503.0,1.02
dass_latent[26],0.032,0.992,-1.902,1.991,0.069,0.072,159.0,464.0,1.02
dass_latent[27],0.015,1.658,-3.202,2.893,0.09,0.073,304.0,994.0,1.02
dass_latent[28],0.021,1.647,-3.011,3.08,0.091,0.068,296.0,939.0,1.02
