,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age_coef,-0.04,0.079,-0.188,0.108,0.0,0.001,25177.0,15788.0,1.0
gender_coef,-0.092,0.122,-0.323,0.134,0.001,0.001,20702.0,15466.0,1.0
ucla_coef,-0.056,0.097,-0.229,0.138,0.001,0.001,13609.0,14693.0,1.0
dass_coef,-0.125,0.096,-0.305,0.058,0.001,0.001,14166.0,14812.0,1.0
sigma_ef,0.998,0.053,0.902,1.1,0.0,0.0,20205.0,14785.0,1.0
