variable_1,variable_2,r,p_value,significant,n
UCLA Loneliness,DASS Depression,0.673489768623537,1.8839770214424656e-28,True,205
UCLA Loneliness,DASS Anxiety,0.4964631639373102,3.722975788446066e-14,True,205
UCLA Loneliness,DASS Stress,0.5486418097200658,1.6501319645409417e-17,True,205
DASS Depression,DASS Anxiety,0.6609369058644742,4.1126651440029905e-27,True,205
DASS Depression,DASS Stress,0.6746725699403426,1.3979732992512624e-28,True,205
DASS Anxiety,DASS Stress,0.7473342079651404,6.793751877868345e-38,True,205
