participant_id,n_trials,both_correct_rate,t1_acc,t2_acc,t1_timeout_rate,t2_timeout_rate,order_violation_rate,pending_rate
23AEyocWhqY955WHbxhHRSgQ1ms2,120,0.0,50.0,53.3,2.5,0.8,95.0,96.7
G9VruXninjUdE9czK2DambZl5li2,120,0.0,0.0,80.0,100.0,8.3,0.0,86.7
PXesLO51qlY7lJBrLdOAZiHmUR72,120,0.0,0.0,0.0,100.0,100.0,0.0,0.0
jc5KScBePmYruPbomyqnv6k6nU82,120,0.0,0.0,0.0,100.0,100.0,0.0,0.0
kxerHPSL3bQjD74HhiebYf3blPr1,120,0.0,0.0,0.0,100.0,100.0,0.0,0.0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,120,0.0,0.0,76.7,100.0,10.0,0.0,87.5
s48aCkolCSNbBRSSRPle0r61a7H2,120,0.0,0.0,0.0,100.0,100.0,0.0,0.0
zw1w9FipI9RjJsuhHse6UZavBxs2,120,0.0,0.0,0.0,100.0,100.0,0.0,0.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,120,0.8,96.7,100.0,0.0,0.0,99.2,99.2
Df83JuPuJkXqTGbENhM2gw5SJM43,120,29.2,36.7,36.7,62.5,60.0,3.3,5.8
AyAnuCaltBbpEYbudoyNzTvXlcC2,120,34.2,65.0,69.2,30.0,20.8,30.0,30.0
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,120,43.3,98.3,97.5,0.8,0.0,53.3,53.3
YzmMCD3ZmzbWlV4pTQ6hvDdnuMk2,120,48.3,89.2,92.5,5.8,2.5,37.5,38.3
Qv0jhW3sqicqQvd7LfReAsI7nD73,120,51.7,100.0,99.2,0.0,0.0,48.3,48.3
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,120,66.7,93.3,93.3,3.3,4.2,25.0,25.0
wJPD2B4ZTJhCyUqGTwc8yJSKPPH2,120,67.5,97.5,96.7,0.0,0.0,28.3,28.3
9l7DjYLs0XdgwykPZR5E01KTZfu2,120,69.2,91.7,92.5,2.5,1.7,25.0,25.8
btpcu1rB1JeSTo2upeHGPdv8kYG3,120,69.2,91.7,96.7,5.0,2.5,23.3,23.3
