participant_id,gender_male,pe_rate,ucla_total_items,factor1_2f,factor2_2f,factor1_3f,factor2_3f,factor3_3f
7QYZfcjgZHcVB941oHiLGGPTk7U2,0,0.0,46.0,-1.305242860259919,-0.5610983931482044,-1.3317950000232195,-0.5200228432712037,0.10678400901280818
GE4hogtdLdTFbNasENgtm6SO3hC3,0,4.477611940298507,51.0,1.2662594456073855,-0.14294048037708346,1.3127827304551383,-0.2456199985336048,-0.47733049991155774
Qv0jhW3sqicqQvd7LfReAsI7nD73,0,9.090909090909092,0.0,0.025193736007186395,-0.4908755169016738,0.05187076600502901,-0.515193114954643,-0.06984345537093661
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0,16.831683168316832,55.0,1.0154804038477319,0.4782537746369452,1.037397051390014,0.4782559642583393,-0.4184533565831918
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0,7.042253521126761,49.0,1.3884486392538156,-1.3913373084642893,1.3342181397128856,-1.4503277606397644,0.3047670735903706
rUuJv5gl7dWVo7UPQWMx4bohxhK2,0,10.112359550561797,52.0,0.15019798679548554,0.06423865589509223,0.16956412660121292,-0.008965121610094415,-0.015458845240886825
xyAILKfYP2M8GqAai11x6NT7IcP2,1,9.876543209876543,58.0,-0.42215610610393856,0.6589045600241563,-0.4255862486873884,0.7929100946206885,0.6649121855501999
pcbRW89vVJcviD87V3uxyG4I9st2,1,2.8169014084507045,56.0,-0.8134075797276739,0.6664464798929297,-0.8124267722684724,0.8315250910374122,0.2776185840071873
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0,6.122448979591836,53.0,0.18968626128279606,0.1754089013714083,0.2611540300859254,0.3766706275505163,0.5576419070307777
yatBVTBMCSMp0wJluOCLzTFKMyP2,0,10.989010989010989,42.0,-0.4407524700832404,-2.455889246099755,-0.498469281991664,-2.2789482741121163,1.0333450912927997
u64Uf920g5VD9Byq26LT2rs5o4t1,1,13.084112149532709,53.0,-0.5577451031381387,0.3031823670750968,-0.5504398341197718,0.48244481824305857,0.4615763931296484
