error_type,male_r,male_p,female_r,female_p,interaction_beta
PE,0.2360911010478996,0.2264675033248062,-0.23173051208256856,0.12123826161616831,2.1573738071082253
NPE,0.034310487798889615,0.8623941635844465,-0.11847578561968668,0.4329252539783487,1.1047138067282418
PE/NPE Ratio,0.07824931176300302,0.6922625273777261,-0.07906054088042364,0.6014778378736597,0.26846712201433487
