category,measure,metric,value,n
survey,UCLA_duration,mean_seconds,151.91780821917808,219
survey,UCLA_too_fast,percent,0.45662100456621,1
survey,DASS_duration,mean_seconds,84.78538812785388,219
survey,DASS_too_fast,percent,15.068493150684931,33
cognitive,STROOP_valid_trials,percent,99.99576235274176,23597
