variable_1,variable_2,r,p_value,significant,n
UCLA Loneliness,DASS Depression,0.6747263562025295,1.8995543883704703e-30,True,219
UCLA Loneliness,DASS Anxiety,0.5031808703468409,1.8580432626928334e-15,True,219
UCLA Loneliness,DASS Stress,0.5528847662921363,6.241652722709349e-19,True,219
DASS Depression,DASS Anxiety,0.6614607257318056,6.250992329804996e-29,True,219
DASS Depression,DASS Stress,0.6727012316258093,3.2762613515557984e-30,True,219
DASS Anxiety,DASS Stress,0.7454745173399852,4.252699438444419e-40,True,219
