participant_id,total_var,slow_var,fast_var,diff_var,fast_ratio,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,334902.77345186315,23747.143728980092,287462.779135718,507797.98723804066,0.8583469649200625,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,228191.1207395515,8688.366636086432,247067.82458655917,417026.8477501878,1.0827232180894226,75
0d841i8KPjdjwCYfDuUUXj0SEjH2,546341.9774129203,32067.002671242324,556097.6958542818,1014171.9331934077,1.01785643213351,66
0oa5NYVnIBS9NmrmRAZrahXDctP2,307721.8088700541,26860.80112423611,281775.3682540743,503751.6591790325,0.9156821522944558,72
146QT9LupyU2BAiTsB3PMIpVXM22,201907.01547593676,26982.69000093304,173341.05796552563,310229.0475201466,0.8585192424192134,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,617887.8423917914,54451.8113237413,565409.1508389659,1183824.7088129967,0.915067609439142,65
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,779206.3981434408,44786.6665241587,762083.2313663705,1277142.6966636365,0.9780248637358875,69
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,484586.0424305587,99523.94370152321,379916.0368446959,709667.7553631151,0.7840011960293677,86
23AEyocWhqY955WHbxhHRSgQ1ms2,470901.65506757254,71307.82179788739,396483.17393678013,660183.8999670636,0.8419659809432744,83
2h5FgHUEvBS1twD5DqbTIRrMm1f2,734492.5333794429,65334.83322421812,658172.8677813817,1076205.583373896,0.8960919789791327,91
2zDXvJKvjeejeOSNbtDbtSI5cdz1,749784.5286609151,73895.68541019455,708474.4473031161,1319105.7299099304,0.9449040627290921,71
3WijiOiVCoMbn80F05SPYsxl0TC2,521514.2742335188,41850.264700640044,420784.50416968565,618681.0768666418,0.806851365263438,78
3xCaqfcHxRQxuOlEzXz3PNcHODH2,310845.05633937655,28643.762712507407,307140.2421194991,543792.708216177,0.9880814761427873,68
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,488550.3951714439,32466.125490722214,434782.3847974452,574626.4161937165,0.8899437787679402,81
5OOi73igsahMZ5IVKQwwyhnj4Cn2,792947.3922915577,64612.72464999682,781201.5427185334,1451619.3718404293,0.9851871010773114,69
5rXSa3anB5ejmFrnwUsTB82byup1,150145.07572869683,20495.02266135037,123839.64117304941,118104.7939455809,0.8247998848581637,85
