participant_id,n_change_points,cp_rate,n_trials
XehZHBpwr5MYzUXkj0FAYCsFG922,0,0.0,113
YEU5ox3jteVINfdSTg5ymqYcS9o2,1,1.4925373134328357,67
Yco8O7tmHlbsUBfKW2ywcZByGO32,0,0.0,64
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,0,0.0,86
aM2995jJmJWvr6cneaGH58HauIg2,0,0.0,87
afdTz6deeYWf1qKNdUpKAYKN3hz1,0,0.0,101
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,0,0.0,119
azdL1gX79EVd9iepyCAVQrqIaQF3,0,0.0,81
bXpFswkI7TfIfL6G4FqWrbaxTGx2,0,0.0,90
biQ16yPcCKSkJQhSxUKcDc8gm8I2,0,0.0,128
btpcu1rB1JeSTo2upeHGPdv8kYG3,0,0.0,67
c0hRe9PCPPZs3HWFqhIQargNlp52,0,0.0,85
cC0BEsQjfrcuCyoaOas9zJT0MNs2,0,0.0,120
cEIs6U87xfbSL5eFTXDK77MmvNf1,0,0.0,101
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,0,0.0,116
cec6NLR2ZLVVw6h0TEKSNIH11v02,0,0.0,127
d9rwc0NXArcNlJvFsgKhQqkGxJq2,0,0.0,86
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,0,0.0,64
e7NIVznoeNMC7bBejXnMVvFNPfx1,0,0.0,72
fEq0OghbLpfD1jigl1Mbz96aMbg2,0,0.0,87
foaW7wtvY3XLNdguFUK7OvOefP93,0,0.0,76
g2G9l3no7RbeRA9a1W3JnfegTnh2,0,0.0,99
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,0,0.0,70
h5RYP03wJuVN0xo7qAR8CKFxLaj1,0,0.0,123
hrRr560eFBNwJ0CcUjCqtSD8TdP2,0,0.0,86
i1tBstVkNiVP0qro7TgGD08IGGa2,0,0.0,79
iKVZi0Oo96UrMBhPQMHWFcf55uA3,0,0.0,67
iWsc4pghIEWOQUZKuQJMfe516UI3,1,1.2658227848101267,79
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,1,1.0309278350515463,97
idP8RVfm74N86O0dszLXANIpjXv2,0,0.0,73
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,0,0.0,75
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,0,0.0,62
jzdk8E3tVXTXIozlfK5oeEb7wWp2,0,0.0,78
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,0,0.0,97
kI0YdycDU0X5hcoEPjEON3Ionyd2,0,0.0,84
kR2rCtaPyPaj7YMizKUDn5xL2qx1,0,0.0,83
kgSRatooJJfDaMZ2yIURqb8aJuE3,0,0.0,66
kxerHPSL3bQjD74HhiebYf3blPr1,0,0.0,115
lHDkoPQu5reNCO45npeYSS9eLQl1,0,0.0,108
lpzDdvuMkKWkPxu6xeclmdctEp42,0,0.0,83
m69r9GQTk2b51mvxrFLt4fZeJi52,0,0.0,81
mUZzgdWKnPb2txOkJg9FHgqX5792,0,0.0,103
mg2WZiRBn4NQDKiMK43Y8dBqyG53,0,0.0,123
mweMgSlGM2VxThhwnupYxYzUbR23,0,0.0,80
mwsliuPsLFhRFjtjQwYkqcCRDvi2,0,0.0,70
nT1qJOiMyDdJ9ui4el195A8Hsgs1,0,0.0,70
ohl9pXqpeSMfepC3w9h0tW5SbJw1,0,0.0,72
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,0,0.0,82
pRQimOpZtsekBI2I1kbnD3pycmo1,0,0.0,73
pcbRW89vVJcviD87V3uxyG4I9st2,0,0.0,69
q0Atnpm0jZS5swcVmq0EMalQUKw1,1,1.4084507042253522,71
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,0,0.0,127
qnR5PLX1v3fPi6SwTJMwGcadwyD3,0,0.0,82
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,0,0.0,74
rFV2EUbp64f5ORSh7DqwmCQmeqT2,1,1.1111111111111112,90
rNe3cRPepZUXbJhmmfQZiGsVzX22,0,0.0,109
rUuJv5gl7dWVo7UPQWMx4bohxhK2,0,0.0,86
ric6cNjG25XmZJCiKZDOxzeezao1,0,0.0,100
roaf78tUWxWSEjAUcUu8O7mrQbl1,0,0.0,73
sqfXvh6GJLaYAqr3RvHrixP8IOx1,2,2.666666666666667,75
ssPK6ISW0HerTGke9hznqJ2LpKu1,0,0.0,82
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,0,0.0,107
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,1,1.4705882352941175,68
tv88wS5Nf6SjruozSmXJxQSmx6J3,0,0.0,77
u64Uf920g5VD9Byq26LT2rs5o4t1,0,0.0,105
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,0,0.0,78
v8nNKiWvPdcjiHXZci39OuFTY6M2,0,0.0,66
wdppvL4tIkVlGjou6aYzzjlaZXB2,0,0.0,125
wkhxvE50megJGMA1EiROSZIJWNq1,1,1.1764705882352942,85
xBGZhFOeypWnqzSQClkrwV9z2vF3,0,0.0,78
xHctBv4C2EU8rHYRouw0btT3GT02,0,0.0,89
xyAILKfYP2M8GqAai11x6NT7IcP2,0,0.0,79
y1EHXv8tUTa4BRS4fRio7bULYfA2,0,0.0,97
yatBVTBMCSMp0wJluOCLzTFKMyP2,0,0.0,87
yfjd8LbAMrYeG54927d3GiKAyXI2,0,0.0,78
zw1w9FipI9RjJsuhHse6UZavBxs2,0,0.0,108
zxG9mUnF7uRkaOKSoCPsiRZzr372,0,0.0,92
