task,outcome,term,beta,p,n
stroop,acf_lag1,UCLA,0.01266674817606574,0.36097141136707833,171
stroop,acf_lag1,UCLA x Male,-0.02488241375144528,0.1447220228597172,171
stroop,acf_mean,UCLA,0.005974221805968269,0.579641778547811,171
stroop,acf_mean,UCLA x Male,-0.015734620015084102,0.2718111929609237,171
wcst,acf_lag1,UCLA,0.0327514407037251,0.11940647121927328,171
wcst,acf_lag1,UCLA x Male,-0.021124109887300617,0.3878946541572629,171
wcst,acf_mean,UCLA,0.007037179178764838,0.6221606843704547,171
wcst,acf_mean,UCLA x Male,-0.006066485407204602,0.7419869263492699,171
