participant_id,dfa_alpha,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.9470951307419316,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.740202274514009,75
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.9127807622304281,66
0oa5NYVnIBS9NmrmRAZrahXDctP2,1.0060207991871142,72
146QT9LupyU2BAiTsB3PMIpVXM22,0.8538253413102185,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.9377136548266908,65
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.7089857278627819,69
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.7868912041118167,86
23AEyocWhqY955WHbxhHRSgQ1ms2,0.8026388744416036,83
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.9528856525392906,91
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.801794178588533,71
3WijiOiVCoMbn80F05SPYsxl0TC2,1.0974722982802605,78
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.6815668923012063,68
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.8280935317432427,81
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.6543474797477338,69
5rXSa3anB5ejmFrnwUsTB82byup1,1.0234417471520667,85
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.8090100446932499,85
62fAfeQc27bZelkPX7G54T3gvci2,0.6945974591202185,64
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.6809786706136205,86
6WFCyGwk71XLPBmbe4Vav3eotVm1,0.9807332960472326,69
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1.013421455429377,76
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.8797761391419671,70
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0.7671252300678391,115
8bwaafIhKVMNBoHaXFcY8HirS9u2,1.193959735013594,80
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.5414872085476355,93
8mscvscxtXf7EbbLqCyy4a4pl2q2,1.1457834787120316,74
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.5767869900619385,70
9l7DjYLs0XdgwykPZR5E01KTZfu2,0.8353779080750868,72
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.8927823237536003,80
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.6860411202412949,79
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,1.0455846957974182,91
AsXBOflrszVNKoFqbN61bMJqS0k2,0.806659962108239,105
AyAnuCaltBbpEYbudoyNzTvXlcC2,1.1128254982361208,107
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,0.8111236563202439,92
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.7805816413550786,77
CDEoAyvS8feXLKMKsaZah9agEhF3,1.0986741497836054,65
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.7240347905746437,90
CUNlBEszJVRGK1jWlTaOaCqpDg53,0.9507847950873891,75
Cbkx2NHyF3NrebzXGqNgSfiWent1,0.7635390872759505,71
Co587hoelyeANqFX7AYvuVQW0lZ2,0.8855149932936811,82
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.9744901066929322,79
DAKDKPH698P12JfTbbjemLI6PIH2,1.0794187295371371,83
DPvStUYSmohmXwFwaKRqHv89R3k1,1.0236100013053713,63
DaRehVxIOhXtEtUExdgvUl0mKcx2,0.8749616940677445,122
Df83JuPuJkXqTGbENhM2gw5SJM43,0.6933769493057497,88
DzB19GqCB7fyrlEPexogWkjFzEx2,1.0164985526395327,78
EEodWwGh0wWq5f8JmzfKvq0lyeu1,0.9146154153162608,93
EUhcW9kURScie1DwGPHqmNqotJB2,0.6344417009720127,126
EmfmKFDgWJdW47a6CNTNjnbYaPh2,0.8187785940897874,82
EoToosG69XMp4LTYdB6sB9WTrv22,0.8305492702907205,62
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.8211861093278787,82
G1Ff3XYUZMRsPafyEQ80ussnVlf1,0.7547327988994568,128
G9VruXninjUdE9czK2DambZl5li2,0.7332893240377536,97
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0.7987034777237975,82
GE4hogtdLdTFbNasENgtm6SO3hC3,0.9145527914182735,67
GEwkBw3YHaNp3TCh9YS9PKVfavz1,0.9717170446230358,75
HSggdq91WiQp16bOj7V3dABkcgk2,0.6947865270529153,89
HbydnnT1hUP3WagAy2TJAc6GqVs2,0.7512757840927645,65
HyQM2xKwwuVfqidmRYF6TiRk90C2,0.880406228821066,83
IaTJhUGICmO9xcL3605RW8QHneN2,0.8295466803283159,108
JntnHLHjYhc0xJJQALM3h9R5Ozv1,0.613572357080395,75
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,0.9488236338584319,60
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.7121501251181307,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.6991020756296726,83
LSLmd8jENtONZFVkIpRDX665Bu73,1.0001867730650238,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.9733366992125753,70
LliUMEIsrCVZ88YFQfevan2Og4z1,0.9247916312755473,96
M4Km1Q2P2oPliChDQkwl6k20FUI3,0.8687985232492131,93
MMSYeiMQi3gMr4PrXQcpXzFiegj2,0.9354083092533877,108
O61Eik2zvrSQLMNpFbTNEgjWwMr2,1.1190088450228768,78
OExlWyngGfPrScDYjaRcv5PIAet1,0.8125576649089034,64
ORuVuFPU5idz3fMoXTGsbwToW2j2,0.7973815543632045,88
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.8956693588732713,91
