task,outcome,term,beta,p,n
stroop,total_var,UCLA,6638.155665748513,0.24970023338260294,171
stroop,total_var,UCLA x Male,-5286.067155239596,0.526588819882776,171
stroop,slow_var,UCLA,710.1324221046103,0.5015149656385516,171
stroop,slow_var,UCLA x Male,-1564.1651398363729,0.4146591073903785,171
stroop,fast_var,UCLA,5134.771786859936,0.316681028347093,171
stroop,fast_var,UCLA x Male,-3065.6985856572055,0.6662276103915916,171
stroop,fast_ratio,UCLA,-0.015953234685895663,0.230316026337407,171
stroop,fast_ratio,UCLA x Male,0.019179367098763198,0.3168359347607629,171
wcst,total_var,UCLA,29122.67071007337,0.4035241162870271,171
wcst,total_var,UCLA x Male,23290.717951439332,0.5110710026168364,171
wcst,slow_var,UCLA,12791.426332062476,0.27646142126139583,171
wcst,slow_var,UCLA x Male,-136.80140179836053,0.9914279092546229,171
wcst,fast_var,UCLA,18523.772366689213,0.43680982917948785,171
wcst,fast_var,UCLA x Male,23948.81807411597,0.35991189942070156,171
wcst,fast_ratio,UCLA,-0.003914631003440782,0.7885574611358686,171
wcst,fast_ratio,UCLA x Male,-0.007360626910497388,0.6929352150741559,171
