task,outcome,term,beta,p,n
stroop,dfa_alpha,UCLA,-0.0043660617585988375,0.7454032233730732,171
stroop,dfa_alpha,UCLA x Male,-0.004608206248690853,0.7883913919425047,171
wcst,dfa_alpha,UCLA,0.015679731514738914,0.4185369316884431,171
wcst,dfa_alpha,UCLA x Male,0.023214459679757354,0.31759172527701407,171
