outcome,term,rope_width,prop_in_rope,prop_above_rope,prop_below_rope,decision,n
WCST PE Rate,UCLA,1.0,0.832,0.019,0.149,Undecided,196
WCST PE Rate,UCLA×Gender,1.0,0.7475,0.24,0.0125,Undecided,196
Stroop Interference,UCLA,20.0,0.8925,0.074,0.0335,Undecided,196
Stroop Interference,UCLA×Gender,20.0,0.7205,0.2575,0.022,Undecided,196
PRP Bottleneck,UCLA,30.0,0.89,0.0965,0.0135,Undecided,190
PRP Bottleneck,UCLA×Gender,30.0,0.397,0.6015,0.0015,Undecided,190
