outcome,term,mean,sd,hdi_3,hdi_97,prob_direction,ci_excludes_0,n
WCST PE Rate,UCLA,-0.265,0.649,-1.393,1.077,0.6735,False,196
WCST PE Rate,Male,-0.328,0.819,-1.839,1.299,0.652,False,196
WCST PE Rate,UCLA x Male,0.333,0.817,-1.273,1.774,0.66,False,196
Stroop Interference,UCLA,-0.028,1.826,-3.198,3.531,0.505,False,196
Stroop Interference,Male,0.983,2.025,-3.099,4.502,0.6705,False,196
Stroop Interference,UCLA x Male,-0.171,2.033,-4.268,3.382,0.5375,False,196
PRP Bottleneck,UCLA,0.304,1.924,-3.399,3.83,0.562,False,190
PRP Bottleneck,Male,2.08,2.019,-1.997,5.697,0.8545,False,190
PRP Bottleneck,UCLA x Male,-0.307,2.132,-4.51,3.429,0.5515,False,190
