outcome,bic_m0,bic_m1,bic_m2,bf_ucla,bf_interaction,interpretation_ucla,interpretation_interaction,n
WCST PE Rate,1284.7832712545232,1290.007800353936,1294.9815128131706,13.629881474007858,12.02341777794774,Strong evidence for H0,Strong evidence for H0,196
Stroop Interference,2398.9460601018964,2403.855002126851,2408.6812660019723,11.640274360059616,11.16888667992213,Strong evidence for H0,Strong evidence for H0,196
PRP Bottleneck,2465.995096350631,2469.0926206909676,2471.792800487621,4.70564179226995,3.857772322385758,Moderate evidence for H0,Moderate evidence for H0,190
