mediator,male_indirect,female_indirect,difference,male_significant,female_significant
Depression,-1.0363983183533965,-0.5136628409657635,-0.5227354773876329,False,False
Anxiety,-0.8939005273173959,0.22607514156554043,-1.1199756688829363,False,False
Stress,-1.6036424930212134,-0.09770129487528996,-1.5059411981459234,False,False
