phase,n_trials,n_participants,re_formula,method,converged,ucla_beta,ucla_se,ucla_z,ucla_p,fit_note
exploitation,10388,197,1,powell,True,0.010143680692122804,0.02039194472015946,0.4974356703750168,0.6188818566139569,
exploration,3409,194,1,lbfgs,True,0.02682205917369352,0.02486603147081076,1.078662640847168,0.2807381456760315,
confirmation,3417,197,1,powell,True,0.04601489129687011,0.020917980693354574,2.1997769273918757,0.02782272573098099,
