model,n_trials,n_participants,re_formula,method,warning_count,ucla_beta,ucla_se,ucla_z,ucla_p,category_x_ucla_beta,category_x_ucla_se,category_x_ucla_z,category_x_ucla_p
overall_mean_lmm,17214,197,1,powell,0,0.019943051250725912,0.020114054890868368,0.9914983010103999,0.321442321554529,,,,
category_slope_lmm,17214,197,1,powell,0,0.015556652927436018,0.021006219465131985,0.7405736645405592,0.45895198087364664,0.0014120425242454178,0.0020929624815783985,0.674662129242055,0.4998904503243573
