n,ucla_beta,ucla_se,ucla_p,delta_r2_ucla,p_ucla_ols,r2_full,task,dv,filter
193,17.1327448746704,5.847008168246075,0.0038121523669555606,0.04251824130883031,0.0038121523669555142,0.07891068978249194,stroop,stroop_interference_slope,rt_sd_p97_5
189,138.97401266338056,92.2142675653035,0.13352466045439876,0.012104623473792042,0.13352466045440173,0.030044699949282383,wcst,wcst_post_shift_error_rt_mean,rt_sd_p97_5
