outcome,rt_min_ms,rt_max_ms,n_participants,n_post_error_trials,ucla_beta,ucla_se,ucla_t,ucla_p,overall_rt_all_beta,overall_rt_all_se,overall_rt_all_t,overall_rt_all_p,r2,adj_r2
post_error_rt_mean,200,10000,196,3819,115.3630971537196,70.6117548896457,1.63376618148087,0.1039814708591734,0.6928207402048967,0.0839343370421238,8.254318371004628,2.6344799467060032e-14,0.3102564940357191,0.28457455498385764
post_shift_error_rt_mean,200,10000,192,3819,123.62959341653655,79.47284660765202,1.5556205508389693,0.12151667623124238,1.0071278031946695,0.12250964197471136,8.220804395155792,3.540000334026775e-14,0.30235904584426565,0.2758183573709496
