n,ucla_beta,ucla_se,ucla_p,delta_r2_ucla,p_ucla_ols,r2_full,dv,task,segments
197,31.044270097581823,8.623788022968949,0.0004062365988766677,0.06257621005508773,0.0004062365988766642,0.08252107646361628,stroop_interference_slope_q3,stroop,3
197,19.033214665526828,6.009235993343511,0.001792736770005859,0.04820573723610344,0.001792736770005826,0.08700887007571823,stroop_interference_slope_q4,stroop,4
197,16.43570317749681,4.835540275747795,0.0008242383851447196,0.05581476613296166,0.0008242383851447143,0.08205609775832101,stroop_interference_slope_q5,stroop,5
197,16.265623914299898,3.980486487853715,6.459280963243092e-05,0.07849600539874158,6.459280963243109e-05,0.10683435007452347,stroop_interference_slope_q6,stroop,6
