participant_id,ci_width,ci_low,ci_high,n_boot
06qcrpGKL6Vc3LVplFQC90VAcRm1,138.2687347891775,-30.041843159657557,108.22689162951995,100
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,184.85946266231355,-138.36544960319364,46.49401305911992,100
0d841i8KPjdjwCYfDuUUXj0SEjH2,173.13371034100302,-62.19517617190525,110.93853416909776,100
0oa5NYVnIBS9NmrmRAZrahXDctP2,146.89688888695792,-88.53718396320176,58.359704923756176,100
146QT9LupyU2BAiTsB3PMIpVXM22,200.00561510434812,-105.72341486489839,94.28220023944975,100
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,479.9312111447826,-292.54373263404455,187.38747851073805,100
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,203.79995301022188,-185.50826908172266,18.291683928499225,100
1fbLQPCcysVlSKup96K4yI5NX6G3,195.50321329628034,-41.8516757335822,153.65153756269814,100
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,320.75878354145016,-132.78060370105274,187.9781798403974,100
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,292.0737212981561,-90.97561980323442,201.09810149492168,100
23AEyocWhqY955WHbxhHRSgQ1ms2,217.29952197887766,-149.68160449677876,67.6179174820989,100
23hG7h2ByUZDbmOMTDtp0HT0xRb2,438.0116112928064,-170.13367509919746,267.87793619360895,100
28nQWMwCaSNFBEXlicY3eHqpwKU2,311.40817551053215,-127.29163236140376,184.11654314912838,99
2FHuv7L9nWPdbIiWHRIuXtcoyw83,325.29336176324136,-165.35034228272755,159.94301948051378,100
2h5FgHUEvBS1twD5DqbTIRrMm1f2,224.58115974880963,-148.19238380101604,76.3887759477936,100
2zDXvJKvjeejeOSNbtDbtSI5cdz1,148.8839668976371,-62.49670551931144,86.38726137832566,100
3FSnTCSiUodLp5u3bE0xaUjLk0b2,168.54411603604328,-77.61270360887536,90.93141242716791,100
3WijiOiVCoMbn80F05SPYsxl0TC2,275.3152322957743,-107.71108644424079,167.60414585153353,100
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,250.54820729134147,-35.265056625491106,215.28315066585037,99
3xCaqfcHxRQxuOlEzXz3PNcHODH2,202.71088200376425,-64.87219116907717,137.8386908346871,100
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,221.9823553446373,-143.53487313309986,78.44748221153746,100
50R0P1MIMvRvK1qpqfGROchII6R2,153.95468809260367,-115.6519314521332,38.30275664047047,100
5OOi73igsahMZ5IVKQwwyhnj4Cn2,115.76101451473221,-59.51741991769567,56.24359459703655,100
5Z68AKm9rIeeB2lVu3nJO7U31wk1,150.80291277277942,-111.82886351996667,38.97404925281274,100
5rXSa3anB5ejmFrnwUsTB82byup1,258.45885021645734,-7.876002543338068,250.5828476731193,100
5zxa5CMLGQSSonWOXqXf0QNS3PH3,187.3167282685979,-166.57122033904125,20.745507929556652,100
62fAfeQc27bZelkPX7G54T3gvci2,392.23227416132886,-206.79488003253402,185.43739412879486,100
6ABZuv4jbjgE0B8TeyUk6nwVb122,192.3057655109039,-68.39311581805502,123.91264969284889,100
6OwhwWQDThSPHTVAeXugohrYuje2,247.90930407625675,-35.762089214134114,212.14721486212264,100
6WFCyGwk71XLPBmbe4Vav3eotVm1,143.17028689079063,-87.10442669161286,56.06586019917779,100
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,192.20472063980708,15.449876473922398,207.65459711372947,100
80UJMJbCOMgs6YVpsMgXfYTzw6o2,91.8602786359485,-43.29335731544329,48.56692132050522,100
87w5Le0CgZhSfYAaOH3Xd2fc98l1,345.0677526080139,-247.53331510794578,97.53443750006814,100
8bwaafIhKVMNBoHaXFcY8HirS9u2,184.16454880034067,-89.132833294534,95.03171550580667,100
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,295.7936095541062,-190.39587564518413,105.39773390892202,100
9NTZ091xWyOO8DgzyTGY0O3i8IR2,267.50087027390185,-178.13916661241876,89.3617036614831,100
9Xz1RIwnPXgyRqmucudW9VeuDnq1,367.03382386363893,-245.07280303029754,121.96102083334141,100
9g0uWFg7uhR46Q0VoG6MzqHOUL12,385.98187859633146,-245.3957180284699,140.58616056786155,100
9l7DjYLs0XdgwykPZR5E01KTZfu2,221.8098436131269,-121.15785858746003,100.65198502566687,99
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,279.73900544287994,-205.22838807348617,74.51061736939376,100
ASGvwW80q7VY7xFaLGZhVuErUQu2,180.03957171244147,-94.65244654624105,85.38712516620042,100
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,289.9844136855738,-97.80196462438505,192.1824490611888,100
AsXBOflrszVNKoFqbN61bMJqS0k2,223.18843238628597,-77.5428147895762,145.64561759670977,99
AyAnuCaltBbpEYbudoyNzTvXlcC2,327.6559378483381,-125.09304397310326,202.56289387523483,100
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,225.4792216949658,-141.38860411252594,84.09061758243985,100
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,136.24016064517735,-5.635725485761643,130.60443515941571,100
