n,ucla_beta,ucla_se,ucla_p,delta_r2_ucla,p_ucla_ols,r2_full,dv,label,task
197,2.689112678895725,9.859156368446007,0.7853363581445363,0.0003834233208183102,0.785336358144595,0.010441983033987023,stroop_rt_interference_correct,Stroop RT interference (correct),stroop
197,-0.001248814698446062,0.00332512303312902,0.7076515883138761,0.0007316312517626766,0.7076515883139147,0.004106467309260897,stroop_acc_interference,Stroop accuracy interference,stroop
197,-0.050648582904037724,0.06918698093062718,0.4650284424724911,0.00270924346380641,0.46502844247245556,0.02934828671209566,wcst_categories_completed,WCST categories completed,wcst
197,-0.12609805443954908,0.5761056197822798,0.8269759435773714,0.00024115768765187173,0.826975943577379,0.03352685443000636,wcst_perseverative_error_rate,WCST perseverative error rate,wcst
197,16.434817643647154,5.772345322052369,0.004890992117496852,0.03906954608923663,0.004890992117496875,0.07463211430649486,stroop_interference_slope,Stroop interference RT slope,stroop
197,11.88489753408414,8.874378511258781,0.18207671883069537,0.00921521351617749,0.18207671883070412,0.013512369363930854,stroop_rt_sd_incong,Stroop RT SD (incongruent),stroop
192,179.93143791890145,87.9658929351044,0.042209278627058915,0.02142750672895022,0.04220927862705758,0.04230377282564923,wcst_post_shift_error_rt_mean,WCST post-shift error RT mean,wcst
