participant_id,shift_trial_count,post_shift_error_count
06qcrpGKL6Vc3LVplFQC90VAcRm1,25.0,9.0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,28.0,10.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,20.0,5.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,25.0,8.0
146QT9LupyU2BAiTsB3PMIpVXM22,27.0,8.0
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,23.0,8.0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,22.0,7.0
1fbLQPCcysVlSKup96K4yI5NX6G3,38.0,19.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,25.0,5.0
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,36.0,21.0
23AEyocWhqY955WHbxhHRSgQ1ms2,39.0,17.0
23hG7h2ByUZDbmOMTDtp0HT0xRb2,19.0,5.0
28nQWMwCaSNFBEXlicY3eHqpwKU2,23.0,7.0
2FHuv7L9nWPdbIiWHRIuXtcoyw83,25.0,8.0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,36.0,15.0
2zDXvJKvjeejeOSNbtDbtSI5cdz1,24.0,8.0
3FSnTCSiUodLp5u3bE0xaUjLk0b2,29.0,10.0
3WijiOiVCoMbn80F05SPYsxl0TC2,31.0,12.0
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,36.0,17.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,18.0,3.0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,26.0,7.0
50R0P1MIMvRvK1qpqfGROchII6R2,49.0,28.0
5OOi73igsahMZ5IVKQwwyhnj4Cn2,24.0,6.0
5Z68AKm9rIeeB2lVu3nJO7U31wk1,32.0,21.0
5rXSa3anB5ejmFrnwUsTB82byup1,25.0,7.0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,27.0,8.0
62fAfeQc27bZelkPX7G54T3gvci2,22.0,6.0
6ABZuv4jbjgE0B8TeyUk6nwVb122,23.0,6.0
6OwhwWQDThSPHTVAeXugohrYuje2,0.0,0.0
6WFCyGwk71XLPBmbe4Vav3eotVm1,24.0,7.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,25.0,7.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,23.0,7.0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,30.0,12.0
8bwaafIhKVMNBoHaXFcY8HirS9u2,23.0,5.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,25.0,7.0
9NTZ091xWyOO8DgzyTGY0O3i8IR2,23.0,6.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,23.0,8.0
9l7DjYLs0XdgwykPZR5E01KTZfu2,22.0,7.0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,25.0,9.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,27.0,8.0
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,32.0,14.0
AsXBOflrszVNKoFqbN61bMJqS0k2,33.0,14.0
AyAnuCaltBbpEYbudoyNzTvXlcC2,35.0,15.0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,2.0,1.0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,29.0,8.0
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,27.0,9.0
CDEoAyvS8feXLKMKsaZah9agEhF3,23.0,6.0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,34.0,13.0
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,30.0,13.0
CUNlBEszJVRGK1jWlTaOaCqpDg53,27.0,11.0
Cbkx2NHyF3NrebzXGqNgSfiWent1,23.0,7.0
Co587hoelyeANqFX7AYvuVQW0lZ2,24.0,8.0
CtJe4bZZnYUBNrcPk00d3YQFSGp2,32.0,14.0
DAKDKPH698P12JfTbbjemLI6PIH2,24.0,7.0
DPvStUYSmohmXwFwaKRqHv89R3k1,18.0,3.0
DaRehVxIOhXtEtUExdgvUl0mKcx2,92.0,61.0
Df83JuPuJkXqTGbENhM2gw5SJM43,25.0,8.0
DxSidjznjVSNDJuDqqGgxpMEGtw1,23.0,6.0
DzB19GqCB7fyrlEPexogWkjFzEx2,23.0,6.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,29.0,11.0
EUhcW9kURScie1DwGPHqmNqotJB2,66.0,42.0
EmfmKFDgWJdW47a6CNTNjnbYaPh2,24.0,7.0
EoToosG69XMp4LTYdB6sB9WTrv22,18.0,1.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,25.0,9.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,51.0,25.0
G9VruXninjUdE9czK2DambZl5li2,38.0,17.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,28.0,11.0
GE4hogtdLdTFbNasENgtm6SO3hC3,20.0,5.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,24.0,7.0
HSggdq91WiQp16bOj7V3dABkcgk2,24.0,7.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,20.0,3.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,25.0,7.0
IaTJhUGICmO9xcL3605RW8QHneN2,26.0,10.0
JOBWLirr6KYf3GXJ3jPFKmd48S93,23.0,8.0
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,15.0,0.0
JvrZiMHtAfP6gvQtlevYWafKy0z2,27.0,10.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,25.0,7.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,28.0,11.0
KtKj6zUKc5Oogd2itg2jdwkchnf2,19.0,2.0
LSLmd8jENtONZFVkIpRDX665Bu73,26.0,10.0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,24.0,7.0
LliUMEIsrCVZ88YFQfevan2Og4z1,32.0,11.0
M4Km1Q2P2oPliChDQkwl6k20FUI3,30.0,12.0
O61Eik2zvrSQLMNpFbTNEgjWwMr2,28.0,7.0
OExlWyngGfPrScDYjaRcv5PIAet1,20.0,3.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,33.0,16.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,37.0,15.0
P8mTl71XaYNvFMTCvlKpzzUdc9W2,35.0,11.0
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,23.0,7.0
PLreonkqaMeFc0UqxKUelH44UQu1,41.0,17.0
PXesLO51qlY7lJBrLdOAZiHmUR72,0.0,0.0
PkpTH7pWpEOG9A86xSloOSozwTk2,45.0,33.0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,28.0,9.0
QbOEVCaZLUMOgltUdXm58oZOALv2,37.0,16.0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,24.0,8.0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,29.0,11.0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,16.0,1.0
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,26.0,8.0
