task,n_participants,rt_sd_mean,rt_sd_sd,rt_sd_min,rt_sd_max,rt_sd_p95,rt_sd_p975
stroop,220,311.90792896859955,94.36705206719779,131.84253486902332,641.2463617336031,484.2879851689882,520.6365189675352
wcst,212,943.8766253453601,372.9235490881208,343.6989523554821,2315.375024064287,1604.0136284420219,1858.1318610134865
