n,ucla_beta,ucla_se,ucla_p,delta_r2_ucla,p_ucla_ols,r2_full,dv,task,winsor
197,6.642068520412744,9.928482739816427,0.5043130678276325,0.0023208237877986315,0.5043130678276455,0.014730961821771249,stroop_rt_interference_correct,stroop,2.5pct
197,17.054635905798285,5.588704176830388,0.0026017777055935753,0.04495129704999523,0.00260177770559354,0.08286520971422229,stroop_interference_slope,stroop,2.5pct
197,11.231021040804611,8.91604974384342,0.20934404495848352,0.008214212433835577,0.20934404495847403,0.016383024980686223,stroop_rt_sd_incong,stroop,2.5pct
192,182.994914724519,85.5196278602974,0.03368113063886921,0.023759999986570746,0.03368113063887013,0.03999890862873701,wcst_post_shift_error_rt_mean,wcst,2.5pct
