n,delta_r2_ucla_given_dass,p_ucla_given_dass,delta_r2_dass_given_ucla,p_dass_given_ucla,dv,label,task
197,0.001435590813289811,0.5993426971747815,0.005180328674706414,0.8014327674004292,stroop_rt_interference_correct,Stroop RT interference (correct),stroop
197,0.00039201845882630426,0.7839105223886674,0.008652205844647765,0.6455176838349627,stroop_acc_interference,Stroop accuracy interference,stroop
197,0.0004936058613120853,0.754956520303974,0.01895926432725481,0.2926599302586681,wcst_categories_completed,WCST categories completed,wcst
197,3.9760181963277574e-05,0.9296081616217459,0.01655841590672924,0.35617623823203587,wcst_perseverative_error_rate,WCST perseverative error rate,wcst
197,0.04820573723610344,0.001792736770005826,0.012382897220222566,0.4634169040525883,stroop_interference_slope,Stroop interference RT slope,stroop
197,0.007450390650044492,0.23194451328271817,0.011929603012143297,0.5135148934617484,stroop_rt_sd_incong,Stroop RT SD (incongruent),stroop
192,0.024879372525591137,0.02928895822281774,0.004028186337600159,0.8538381592664182,wcst_post_shift_error_rt_mean,WCST post-shift error RT mean,wcst
