participant_id,cC,cI,iC,iI,interference_after_congruent,interference_after_incongruent,cse,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,672.555555558039,713.6833333339956,649.8941176463576,750.7352941194001,41.12777777595659,100.84117647304254,-59.71339869708595,70
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,663.1999999999867,634.6199999999604,596.9761904762015,804.1642857143223,-28.580000000026303,207.1880952381208,-235.7680952381471,69
0d841i8KPjdjwCYfDuUUXj0SEjH2,742.8588233835557,1099.9055554601882,739.6294117534862,952.1625000238419,357.04673207663257,212.53308827035562,144.51364380627695,68
0oa5NYVnIBS9NmrmRAZrahXDctP2,567.2105263150052,594.2928571424314,544.5999999990066,501.59499999806286,27.08233082742629,-43.00500000094377,70.08733082837006,68
146QT9LupyU2BAiTsB3PMIpVXM22,814.3933333337307,834.9600000008941,725.8047619043361,936.9642857153501,20.566666667163418,211.15952381101397,-190.59285714385055,70
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,1082.0263157910422,1368.8000000026077,1047.1437499988824,1095.1631579006973,286.7736842115655,48.01940790181493,238.7542763097506,70
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,853.3000000119209,1096.8958333283663,864.4708333263794,1101.6200000047684,243.59583331644535,237.14916667838895,6.446666638056399,70
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,877.2499999940395,943.1266666730245,1149.1533333222071,876.1749999880791,65.87666667898498,-272.978333334128,338.855000013113,70
23AEyocWhqY955WHbxhHRSgQ1ms2,755.3785714278264,894.0045454546132,751.4090909073976,746.0153846156138,138.62597402678682,-5.393706291783815,144.01968031857064,71
2h5FgHUEvBS1twD5DqbTIRrMm1f2,679.4312499947846,865.2631578915998,730.5947368458698,863.0999999903142,185.8319078968152,132.50526314444448,53.326644752370726,70
2zDXvJKvjeejeOSNbtDbtSI5cdz1,700.2562500002095,866.3300000000745,720.0105263156522,849.800000000163,166.07374999986496,129.78947368451077,36.28427631535419,71
3WijiOiVCoMbn80F05SPYsxl0TC2,849.189473672917,967.0875000208616,764.4750000089407,800.0549999833107,117.89802634794466,35.579999974370025,82.31802637357464,71
3xCaqfcHxRQxuOlEzXz3PNcHODH2,678.8428571426442,722.3181818161498,642.7190476180542,736.1153846119458,43.47532467350561,93.39633699389162,-49.92101232038601,70
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,754.386666666662,1049.73333333334,807.5900000000023,849.0600000000171,295.34666666667795,41.47000000001481,253.87666666666314,71
5OOi73igsahMZ5IVKQwwyhnj4Cn2,817.5374999999476,946.0105263158483,758.0750000000698,907.1400000000993,128.4730263159007,149.0650000000295,-20.59197368412879,70
5rXSa3anB5ejmFrnwUsTB82byup1,889.8777777777674,935.6888888889613,755.158823529368,1046.5222222222171,45.811111111193895,291.36339869284916,-245.55228758165526,71
5zxa5CMLGQSSonWOXqXf0QNS3PH3,620.0117647086872,684.366666674614,536.0444444285499,709.6999999915852,64.35490196592673,173.65555556303525,-109.30065359710852,70
62fAfeQc27bZelkPX7G54T3gvci2,933.0052631578261,1084.8250000000698,1000.2687499998719,1218.926315789454,151.81973684224374,218.65756578958212,-66.83782894733838,70
6ABZuv4jbjgE0B8TeyUk6nwVb122,1003.2470589245067,1125.1277777353923,1014.3500000370873,1121.2722222805023,121.88071881088558,106.92222224341504,14.958496567470547,71
6WFCyGwk71XLPBmbe4Vav3eotVm1,684.544444402059,688.9941177087671,686.794444402059,721.2555555767483,4.449673306708178,34.461111174689336,-30.011437867981158,71
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1058.0687499791384,1209.5800000190734,1015.6799999713897,1111.5800000031788,151.51125003993502,95.90000003178909,55.61125000814593,71
80UJMJbCOMgs6YVpsMgXfYTzw6o2,743.4933333334824,751.7900000001304,667.8047619048683,792.2533333336313,8.29666666664798,124.44857142876299,-116.15190476211501,71
87w5Le0CgZhSfYAaOH3Xd2fc98l1,1544.8,1543.194736842066,1194.2789473682642,1370.2294117652757,-1.605263157933905,175.9504643970115,-177.5557275549454,70
8bwaafIhKVMNBoHaXFcY8HirS9u2,630.1071428571429,667.5571428253537,660.4190476281302,718.3999999669882,37.44999996821082,57.980952338857946,-20.530952370647128,69
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,992.435714176723,1301.6095239094325,1017.8318180604415,1330.823077055124,309.1738097327095,312.99125899468254,-3.8174492619730245,70
8mscvscxtXf7EbbLqCyy4a4pl2q2,1088.6000000089407,1113.0736841967232,977.105263164169,1052.394117656876,24.47368418778251,75.28885449270706,-50.81517030492455,71
9Xz1RIwnPXgyRqmucudW9VeuDnq1,1022.9999999999923,1182.8947368421084,1077.7894736842165,1428.9999999999955,159.89473684211612,351.2105263157789,-191.3157894736628,66
9l7DjYLs0XdgwykPZR5E01KTZfu2,732.2647058823529,874.7277777724796,740.115789482468,841.449999996594,142.46307189012668,101.33421051412597,41.128861376000714,68
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,822.2823529523962,935.7611111005148,800.8555555476082,985.9333333571752,113.47875814811857,185.077777809567,-71.59901966144844,71
ASGvwW80q7VY7xFaLGZhVuErUQu2,799.8687497377396,919.3105260949386,760.8299998283386,930.2846155900222,119.44177635719905,169.4546157616836,-50.012839404484566,68
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,970.4062499701977,1011.3578947719775,903.6000000715255,1001.506666692098,40.95164480177982,97.90666662057242,-56.9550218187926,70
AsXBOflrszVNKoFqbN61bMJqS0k2,751.0105263057508,788.6058823501362,696.9941176526687,815.3133333285649,37.595356044385426,118.3192156758962,-80.72385963151078,68
AyAnuCaltBbpEYbudoyNzTvXlcC2,925.6750000230968,1152.3333333366447,927.5842105244335,1049.2142857142858,226.65833331354793,121.63007518985228,105.02825812369565,67
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,788.9449999999837,921.6875000000146,723.875,938.4421052631898,132.74250000003087,214.56710526318977,-81.8246052631589,71
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,832.6857142789023,1193.3285714104063,822.4619047301156,1180.3076922710125,360.642857131504,357.8457875408968,2.7970695906071796,69
CDEoAyvS8feXLKMKsaZah9agEhF3,764.2052631578654,950.9647058823475,724.8470588235514,904.4277777777882,186.75944272448214,179.58071895423677,7.1787237702453695,71
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,905.975,1458.0312500596046,853.3133333365123,1169.3684210275349,552.0562500596046,316.05508769102255,236.00116236858207,70
CUNlBEszJVRGK1jWlTaOaCqpDg53,783.3999999998404,857.1454545454206,721.0909090912478,818.4461538464977,73.74545454558029,97.35524475524994,-23.609790209669654,71
Cbkx2NHyF3NrebzXGqNgSfiWent1,745.755000000447,993.4437499986961,788.1374999992549,928.5052631567968,247.68874999824914,140.36776315754184,107.32098684070729,71
Co587hoelyeANqFX7AYvuVQW0lZ2,711.6684210488671,682.9941176421502,563.8411764677833,640.2176470581223,-28.674303406716945,76.37647059033907,-105.05077399705601,70
CtJe4bZZnYUBNrcPk00d3YQFSGp2,773.1277777777933,807.2055555555918,698.2764705882599,892.1222222221809,34.077777777798474,193.84575163392094,-159.76797385612247,71
DAKDKPH698P12JfTbbjemLI6PIH2,596.2499999970198,646.4125000052154,589.1199999928474,679.415000000596,50.16250000819559,90.29500000774863,-40.13249999955303,71
DPvStUYSmohmXwFwaKRqHv89R3k1,852.6777777936724,1098.7294117703157,982.929411761901,1168.575000025332,246.0516339766433,185.64558826343102,60.40604571321228,68
DaRehVxIOhXtEtUExdgvUl0mKcx2,1106.3062500096858,1415.9850000023841,1001.3650000035763,1665.300000011921,309.6787499926984,663.9350000083447,-354.2562500156463,70
Df83JuPuJkXqTGbENhM2gw5SJM43,879.861111111124,1353.4882352941204,852.341176470591,1252.8466666666325,473.62712418299634,400.5054901960415,73.12163398695486,67
DzB19GqCB7fyrlEPexogWkjFzEx2,1225.0615384395305,1314.4050000071525,1110.6100000023841,1354.175000011921,89.34346156762194,243.5650000095368,-154.22153844191484,69
EEodWwGh0wWq5f8JmzfKvq0lyeu1,687.3571428571444,782.277777777779,642.4210526315774,842.500000000001,94.9206349206346,200.07894736842366,-105.15831244778906,65
EUhcW9kURScie1DwGPHqmNqotJB2,1051.1555555529064,1269.6058823361116,1104.8222222328186,1114.2235293949352,218.45032678320513,9.401307162116609,209.04901962108852,70
EmfmKFDgWJdW47a6CNTNjnbYaPh2,832.4562499970198,993.7263157932382,785.7052631629141,1034.2882353067398,161.27006579621843,248.5829721438257,-87.31290634760728,71
EoToosG69XMp4LTYdB6sB9WTrv22,761.0294117647059,801.9052632231461,630.4277777671814,710.0470588347491,40.87585145844025,79.61928106756773,-38.743429609127475,71
Fz7EUjZCLuUBxLDUVtN6djaBTy42,987.5357142771993,998.0095238061178,914.3863636363636,1060.1785714285713,10.473809528918537,145.7922077922077,-135.31839826328917,71
G1Ff3XYUZMRsPafyEQ80ussnVlf1,1007.6533333222071,1111.9952380770728,885.8500000059605,1115.8333333412806,104.34190475486571,229.98333333532014,-125.64142858045443,71
G9VruXninjUdE9czK2DambZl5li2,680.0000000000388,799.2777777777778,713.7777777777649,788.4,119.27777777773906,74.62222222223511,44.65555555550395,69
GDZGRW51kbWtAdUIHCtEd8sAtqY2,1093.515384582373,942.9130434886268,870.4782608902973,900.1666666865349,-150.60234109374608,29.68840579623759,-180.29074688998367,71
GE4hogtdLdTFbNasENgtm6SO3hC3,1148.3000000044703,1256.35263157832,1059.6052631594632,1279.4307692280183,108.05263157384957,219.82550606855511,-111.77287449470555,67
GEwkBw3YHaNp3TCh9YS9PKVfavz1,692.7142857228007,760.0350000023842,677.7571428616842,810.5799999952317,67.32071427958351,132.82285713354747,-65.50214285396396,70
HSggdq91WiQp16bOj7V3dABkcgk2,689.9538461336723,744.0681818127632,656.2681818170981,785.0214285680225,54.114335679090914,128.7532467509244,-74.63891107183349,71
HbydnnT1hUP3WagAy2TJAc6GqVs2,944.7666666825612,1019.2238095147269,944.9449999928474,993.8333333174388,74.45714283216569,48.88833332459137,25.568809507574315,71
HyQM2xKwwuVfqidmRYF6TiRk90C2,649.1888888867365,675.070588238099,622.4166666674945,665.4500000013245,25.8816993513625,43.03333333383,-17.1516339824675,71
IaTJhUGICmO9xcL3605RW8QHneN2,673.3857142882688,800.6199999973178,616.6050000026822,785.3933333317439,127.234285709049,168.78833332906163,-41.554047620012625,69
JntnHLHjYhc0xJJQALM3h9R5Ozv1,707.2882352927152,887.8166666560703,781.6722222036785,768.5411764663809,180.52843136335514,-13.131045737297654,193.6594771006528,70
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,731.058823536424,816.226315786964,664.6277777850628,773.8411764747956,85.16749225054002,109.2133986897328,-24.045906439192777,71
K26uNuY0VNPjJNF26wEx3bFg0kr2,759.3071428571295,752.9349999999861,628.3699999999953,843.9125000000058,-6.372142857143444,215.54250000001048,-221.91464285715392,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,738.4705882352941,777.6111111111176,668.4210526315728,768.2941176470725,39.14052287582342,99.87306501549972,-60.7325421396763,71
LSLmd8jENtONZFVkIpRDX665Bu73,905.2294117703158,1124.5555555555557,804.8555555476082,1054.583333346579,219.32614378523988,249.7277777989707,-30.401634013730813,71
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,703.5,673.7812499962747,734.5562499947846,719.6894736791912,-29.71875000372529,-14.86677631559337,-14.85197368813192,71
LliUMEIsrCVZ88YFQfevan2Og4z1,508.7833333332997,599.7722222221912,527.8117647059125,674.3999999999891,90.9888888888915,146.58823529407653,-55.59934640518503,70
M4Km1Q2P2oPliChDQkwl6k20FUI3,680.9529411933001,839.2000000100387,672.1736842707584,823.5062500536442,158.24705881673856,151.3325657828858,6.91449303385275,71
MMSYeiMQi3gMr4PrXQcpXzFiegj2,920.3764706218944,1326.688888867696,927.800000015058,1109.7875000089407,406.3124182458016,181.9874999938827,224.32491825191892,70
O61Eik2zvrSQLMNpFbTNEgjWwMr2,857.3937500007451,790.0052631583653,857.6157894730568,776.4058823541683,-67.38848684237973,-81.20990711888851,13.821420276508775,71
OExlWyngGfPrScDYjaRcv5PIAet1,586.3416666388512,855.3416666686535,717.1583333363136,868.6181818246841,269.0000000298023,151.45984848837054,117.54015154143178,71
ORuVuFPU5idz3fMoXTGsbwToW2j2,842.9285714626312,772.4476190294538,756.8954545584592,730.0384615751414,-70.48095243317744,-26.85699298331781,-43.623959449859626,70
ORvIk1xRWIQmKuLVe6GXNouvAXx2,824.188235282898,1109.9333333571751,821.9157894787036,1137.1785714200564,285.74509807427717,315.26278194135284,-29.517683867075675,68
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,748.3705882359953,1203.6473684248172,689.9777777691683,1114.5428571403027,455.2767801888218,424.5650793711344,30.711700817687415,68
PLreonkqaMeFc0UqxKUelH44UQu1,665.5176470604013,637.0388888882267,686.4833333343267,696.1235294122906,-28.478758172174594,9.640196077963878,-38.11895425013847,70
PkpTH7pWpEOG9A86xSloOSozwTk2,1308.642857159887,1357.489999973774,1399.3571428457897,1320.5866666793822,48.8471428138871,-78.77047616640743,127.61761898029454,70
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,688.2076923079215,872.4619047616919,596.9333333335817,708.4733333334327,184.25421245377038,111.53999999985103,72.71421245391934,70
QbOEVCaZLUMOgltUdXm58oZOALv2,1047.5444444517295,1113.427777773804,1025.1611111130978,1140.8062500022352,65.88333332207458,115.64513888913734,-49.761805567062765,70
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,1136.3133333365122,1217.3809523809523,1120.539999985695,1276.8000000476836,81.06761904444011,156.26000006198865,-75.19238101754854,71
QreA2rLiUhV3YHeMfuHMPdGbpJ53,829.0578947694678,1177.9000000357628,944.9937499910593,1273.0176470700433,348.842105266295,328.02389707898396,20.81820818731103,68
