predictor,beta,se,p
Intercept,13.43575202517706,13.40996366681747,0.31638074729143506
C(gender_male)[T.1],-32.69780825016323,22.947338882976823,0.15418428190416483
z_ucla,22.119668290606892,15.530902291350674,0.15437820172416322
z_ucla:C(gender_male)[T.1],-12.186927345750325,25.028857792183196,0.6263185386683703
z_dass_dep,-14.730910060364419,18.761028079177024,0.43234410179222416
z_dass_anx,-8.924154137856029,17.787221162918897,0.6158664899159141
z_dass_str,9.620013096977777,19.302575414547068,0.6182163927438102
z_age,12.616393808882863,6.477650823765072,0.05145321193858726
