k,bic,aic,log_likelihood,mean_entropy,relative_entropy,converged
2,2632.8946591668364,2423.030938077147,-1140.5154690385734,0.08609832913818208,0.12421363247648103,True
3,2703.5427203408517,2387.269225177517,-1086.6346125887585,0.05227069887715162,0.04757884052118278,True
4,2808.3672907970536,2385.6840215600732,-1049.8420107800366,0.1010069144024806,0.07286108725197739,True
5,2487.785235144357,1958.6921918337312,-800.3460959168656,0.08027052997817768,0.04987488449105639,True
6,2895.033637886861,2259.53082050259,-914.765410251295,0.09341940324407426,0.05213836167659391,True
