participant_id,profile_k3,profile_k4
Yco8O7tmHlbsUBfKW2ywcZByGO32,0,2
xHctBv4C2EU8rHYRouw0btT3GT02,1,3
SOhR7IO689NQCPQu56SjATO8FR92,2,2
idP8RVfm74N86O0dszLXANIpjXv2,1,0
mweMgSlGM2VxThhwnupYxYzUbR23,1,3
9Xz1RIwnPXgyRqmucudW9VeuDnq1,1,3
ohl9pXqpeSMfepC3w9h0tW5SbJw1,1,0
9l7DjYLs0XdgwykPZR5E01KTZfu2,2,3
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,1,0
rFV2EUbp64f5ORSh7DqwmCQmeqT2,1,0
bXpFswkI7TfIfL6G4FqWrbaxTGx2,1,3
XehZHBpwr5MYzUXkj0FAYCsFG922,1,0
DAKDKPH698P12JfTbbjemLI6PIH2,1,0
3WijiOiVCoMbn80F05SPYsxl0TC2,1,0
qnR5PLX1v3fPi6SwTJMwGcadwyD3,1,0
DaRehVxIOhXtEtUExdgvUl0mKcx2,2,1
UbwuSMtBsHdW3Ji41opk3GInMqi2,1,0
cC0BEsQjfrcuCyoaOas9zJT0MNs2,1,0
Cbkx2NHyF3NrebzXGqNgSfiWent1,1,0
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,1,0
146QT9LupyU2BAiTsB3PMIpVXM22,1,0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0,1
HbydnnT1hUP3WagAy2TJAc6GqVs2,1,3
EoToosG69XMp4LTYdB6sB9WTrv22,1,0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1,3
PkpTH7pWpEOG9A86xSloOSozwTk2,2,1
8bwaafIhKVMNBoHaXFcY8HirS9u2,1,0
tv88wS5Nf6SjruozSmXJxQSmx6J3,2,1
3xCaqfcHxRQxuOlEzXz3PNcHODH2,1,0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,1,0
5rXSa3anB5ejmFrnwUsTB82byup1,1,0
btpcu1rB1JeSTo2upeHGPdv8kYG3,2,3
IaTJhUGICmO9xcL3605RW8QHneN2,1,0
kI0YdycDU0X5hcoEPjEON3Ionyd2,2,2
YEU5ox3jteVINfdSTg5ymqYcS9o2,1,0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,1,0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,2,3
c0hRe9PCPPZs3HWFqhIQargNlp52,1,3
biQ16yPcCKSkJQhSxUKcDc8gm8I2,1,0
OExlWyngGfPrScDYjaRcv5PIAet1,1,3
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,2,3
