profile,N,PRP_tau_mean,PRP_tau_sd,PRP_RMSSD_mean,PRP_RMSSD_sd,PRP_sigma_mean,PRP_sigma_sd,WCST_tau_mean,WCST_tau_sd,WCST_RMSSD_mean,WCST_RMSSD_sd,Stroop_tau_mean,Stroop_tau_sd,Stroop_RMSSD_mean,Stroop_RMSSD_sd
1,34,305.3485153909192,108.51928171081285,601.9583995192426,116.28222767998798,5.0,0.0,793.3211020214599,268.7121588888455,1139.0374059083624,415.4252689198949,231.88750252091702,125.85028791786542,341.9669022590262,79.38367996970196
2,47,130.59192465565675,68.83503634446954,496.90032351245975,112.31120817981444,67.62794303550712,33.94948786852349,591.2405464038093,134.6577325329733,814.1271500761148,194.60287198667987,209.3810979695791,88.35526458971003,323.65218878709123,84.31414612093398
3,18,272.7205383380817,170.35487743199005,694.6296496482169,117.85011179871215,120.70173140915436,42.172630169190235,923.941696242348,272.68695848917326,1162.6296501730587,389.22103476616934,395.49843571569886,106.00662739921896,475.10780844202196,96.08336925867927
4,35,183.27741128741238,86.74615296693973,580.1147250936187,80.27719536538866,89.08873897552046,40.88476847896489,888.2868521450796,218.12148824382123,1294.39849279765,385.0120533322941,193.54358314786884,133.14620097712336,340.530887425005,98.68989015666408
5,8,342.81181529380063,73.85516862584406,613.1081346079848,108.13233773524344,47.2366640613929,50.414929491116204,1520.6855708203589,260.8490167894358,1987.0736345384644,322.0793252434507,184.3400462804646,129.24568744014226,471.4212768916328,104.88125566011581
