k,BIC,AIC,Entropy,Gender_chi2,Gender_p,UCLA_F,UCLA_p
2,1438.96,1275.37,0.049,1.02,0.311,1.85,0.178
3,1503.3137558266133,1256.778790853767,0.045506346355804236,5.106370975767527,0.07783333354017784,1.7941349678921463,0.17372704280481402
4,1487.9450830264552,1158.463774698259,0.049713546959649225,4.598395800106326,0.20367974126854735,0.5568709127479783,0.6452605063496617
