participant_id,n_trials,n_transitions,rt_lag-2,rt_lag-1,rt_lag+0,rt_lag+1,rt_lag+2,rt_lag+3,rt_lag+4,rt_lag+5,recovery_slope
SdDjNMBD2ZMTEwUphkohi2cZwUx1,82,10,1201.250000190735,1998.320000076294,974.8900003433228,1143.259999847412,1234.2399997711182,1238.2888889312744,1028.1888885498047,1011.7999996609158,87.79962952931722
SpSfX0ZcfcPLdlOENlfdfvEPwru2,70,8,1380.999999999971,1595.124999999971,974.0,1028.2499999999563,1342.6249999999854,1078.1249999999854,1249.5,1105.249999999971,34.70833333332848
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,71,6,1337.2333333293598,2178.9500000029802,1203.1833333273728,1169.81666666766,1212.0833333383005,1317.6500000059605,1629.2166666686535,1251.316666662693,38.155555559529226
Ub7nV8F55kPruh35ZpUcKoBUyn63,77,11,1217.119999998808,2573.0181818143888,1463.7727272727273,1633.6727272732692,1380.2727272727273,1113.5727272711017,1510.690000000596,1050.0699999988078,-116.73333333387518
UbwuSMtBsHdW3Ji41opk3GInMqi2,76,6,1334.840000000596,1751.800000000124,891.2833333332092,871.4333333332712,1053.7166666674116,1280.9333333335817,1184.8166666670393,719.6500000003725,129.8833333334575
VwTymW8T68MfpnJvZ2X97ILqDWS2,80,8,1604.1124999970198,2054.5749999955297,1103.324999988079,1244.5125000104308,1283.1999999806285,1237.4375000074506,1588.4374999925494,1373.2749999985099,44.70416667312384
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,76,8,1342.9999999999127,2525.625,1483.5,1346.125,1125.500000000029,1308.625,1320.142857142857,1510.142857142824,-58.291666666666664
WbOfW9KmUkPQK8o5hlHJnJFdpp92,94,11,1652.83636363528,1799.6909090903673,1202.3909090919929,1422.3090909096327,1260.0727272711017,1422.7636363655329,1622.900000000542,1580.0090909071944,73.45757575784667
WcTsIpSoEhYeIBSNjAbbdaNSBya2,90,15,1779.1533333331347,2015.3266666650773,1478.3466666678587,1474.2428571411542,1626.664285715137,1645.0785714302745,1618.0214285701513,1517.0428571445602,55.577301587471915
WeHQDy9BWldTlaQDVVlsJNCqwxA2,105,9,1566.5555555555557,2183.4444444444184,1171.4444444444443,1224.3333333333076,1288.5555555555813,1297.111111111163,1319.5555555555038,1214.111111111111,41.888888888906195
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,69,3,1455.199999968211,1900.7666667302449,1001.1000000635782,999.3333331743876,990.733333269755,951.0333333015442,1040.2333332697551,810.733333269755,-16.68888892067802
WnC6Uscb5VMIr43GASKiUCO3AYH2,70,3,1998.066666662693,2088.433333327373,1007.7333333293597,949.3999999960264,1133.3999999960263,944.1666666567326,858.9333333273729,967.5999999940395,-21.1888888908757
WqoZv41KTtTCuPKBPyClregrKAi1,84,7,1574.5714285713952,1859.5714285713289,1041.2857142857142,1123.7142857142524,966.8571428571761,1475.0,1132.7142857142858,1427.4285714286048,144.57142857142858
XehZHBpwr5MYzUXkj0FAYCsFG922,112,10,1524.420000000298,2201.969999999553,1199.989999999106,1333.260000000149,1368.129999999702,1119.920000000298,1186.229999999702,1357.6000000014901,-26.68999999960268
YEU5ox3jteVINfdSTg5ymqYcS9o2,60,4,1919.2333333293598,2869.3500000089407,1440.0999999791384,1073.3750000149012,1606.375,1699.5750000029802,1206.925000011921,1048.9249999970198,86.49166667461395
Yco8O7tmHlbsUBfKW2ywcZByGO32,61,6,1540.7666666706402,2007.133333330353,1072.8666666646798,936.683333337307,1039.3333333333333,1216.5833333333333,1500.0999999990065,1688.1000000039737,47.90555555621783
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,84,9,1312.4375000298023,2189.011111100515,1388.5333333545261,1551.6999999947018,1249.9777777459885,1140.0222221745385,1121.3444444338481,1127.6333333386315,-82.8370370599959
aM2995jJmJWvr6cneaGH58HauIg2,87,7,1399.542857136045,1615.699999996594,1047.900000001703,1000.4142857193947,964.7857142686844,1065.5428571445602,1199.8714285748345,1112.300000003406,5.880952380952446
afdTz6deeYWf1qKNdUpKAYKN3hz1,52,9,2294.777777776122,2862.7777777794336,2323.8333333333335,2308.788888891538,2407.844444445438,2358.7000000013245,2295.4222222235467,2404.722222222222,11.622222222663671
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,118,8,1410.2875000089407,1794.850000008941,833.2625000178814,1077.4375000149012,1124.0999999727521,1121.9857142993383,1016.5714285373688,1005.8857142754963,96.24107142715229
azdL1gX79EVd9iepyCAVQrqIaQF3,77,6,1086.6599999998696,2514.999999999845,1327.1499999999844,1595.5,1336.9833333333954,1305.3333333333333,1360.049999999969,1266.6000000000156,-7.2722222222170485
bXpFswkI7TfIfL6G4FqWrbaxTGx2,90,8,1180.0374999999767,1550.6250000000582,902.3125000000437,814.6749999999593,958.0250000000233,932.737500000032,876.0750000000116,941.6857142858207,10.141666666662786
biQ16yPcCKSkJQhSxUKcDc8gm8I2,118,19,1608.2631579072852,2080.8210526140115,1294.0947368395955,1576.6894736540944,1548.0210526365984,1496.0105262806542,1569.1368421378888,1675.0999999673743,67.30526314701956
btpcu1rB1JeSTo2upeHGPdv8kYG3,65,8,1665.2857143027443,2185.412499964237,1098.6875000298023,1069.512499988079,1434.0999999940395,1143.4999999701977,1296.5250000059605,1362.6375000178814,14.937499980131784
c0hRe9PCPPZs3HWFqhIQargNlp52,82,5,2173.7399998664855,2360.0400000572204,1488.6800000190735,1468.6599999427795,1753.339999961853,1482.9000001907348,1524.4599999427796,1322.4000000953674,-1.9266666094462532
cC0BEsQjfrcuCyoaOas9zJT0MNs2,120,13,1331.1333333452542,1795.053846157514,1058.1846154102911,1093.7076922746805,1154.9384615237896,1178.246153813142,1055.2538462051978,1036.0615384395305,40.02051280095028
cEIs6U87xfbSL5eFTXDK77MmvNf1,97,8,1554.5249999761581,1976.7124999761581,1090.6625000238419,1086.074999988079,1165.3124999403954,1140.5749998688698,1220.4125000834465,1383.5375000238419,16.63749994834264
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,111,15,1410.1399999996027,1755.1399999991058,934.7066666672628,1047.8733333334326,1227.920000000298,1113.3266666660707,1143.8133333315452,1177.0199999993047,59.53999999960263
cec6NLR2ZLVVw6h0TEKSNIH11v02,124,21,1524.044999999972,2042.9666666666799,1263.857142857032,1472.7571428570718,1552.5142857143655,1336.6666666667554,1611.2190476191186,1369.1714285713222,24.26984126990783
d9rwc0NXArcNlJvFsgKhQqkGxJq2,78,6,1580.1000000039737,1546.0833333432674,976.433333337307,932.5000000099341,1348.316666662693,1118.9166666567326,921.2499999900659,1258.3833333353202,47.494444439808525
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,59,8,1761.3499999940398,2250.062500014901,1417.074999988079,1669.1124999970198,1606.1749999970198,1940.6249999850988,1837.4624999761581,1768.4749999940395,174.51666666567326
e7NIVznoeNMC7bBejXnMVvFNPfx1,65,7,1185.100000006812,2214.142857151372,1278.1142857159887,1473.4857142823082,1045.442857154778,1349.1857142703873,1311.1285714421954,1264.399999993188,23.690476184799536
fEq0OghbLpfD1jigl1Mbz96aMbg2,86,3,1315.3333333383005,1429.9666666636865,834.4000000009934,741.6999999980131,974.7333333343267,839.7666666706403,982.066666662693,886.3666666646799,1.788888889882325
foaW7wtvY3XLNdguFUK7OvOefP93,73,7,1441.5999999999601,1917.0142857142657,1082.1142857142925,1092.214285714319,1133.5999999999601,1230.142857142857,1163.642857142824,1021.5571428571295,49.34285714285488
g2G9l3no7RbeRA9a1W3JnfegTnh2,97,15,1296.557142836707,2048.673333334923,960.6733333110809,1382.1933333158493,941.9399999856948,1293.293333331744,1151.3866666555405,1497.07333334287,110.87333334022101
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,59,5,2165.1999999999534,2390.5999999999535,1446.6,1431.8,1512.8,1436.7999999999533,1229.1999999999534,1259.6,-3.266666666682189
h5RYP03wJuVN0xo7qAR8CKFxLaj1,110,5,1299.7800000071525,2136.5,1049.9399999976158,966.8599999904633,985.6799999952316,971.9500000029802,1146.1000000089407,988.2000000029802,-25.99666666487853
hrRr560eFBNwJ0CcUjCqtSD8TdP2,86,8,1394.9500000001863,2079.375,978.6000000000931,878.9624999989755,987.1749999993481,900.0374999996275,879.7374999988824,957.7624999997206,-26.18750000015522
i1tBstVkNiVP0qro7TgGD08IGGa2,71,6,2271.899999976158,2766.100000023842,1702.4500000476837,1411.366666674614,1665.2166666984558,1719.6833333571751,1605.2166666984558,1496.2999999920528,5.744444436497133
iKVZi0Oo96UrMBhPQMHWFcf55uA3,63,24,1468.5217391304752,1537.8333333332946,1510.6666666666958,1448.8333333333237,1517.0434782608695,1509.7391304347927,1574.1818181818076,1557.863636363647,-0.30917874396770156
iWsc4pghIEWOQUZKuQJMfe516UI3,74,6,1199.3333333233993,1864.366666674614,793.5999999940395,797.7333333293597,864.4999999900659,708.6666666666666,795.9166666467985,737.0333333313465,-28.3111111091243
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,84,5,1941.1800000190735,2276.7200000047683,1397.2400000095367,1468.6,1341.1799999952316,1552.5000000476837,1572.7200000047683,1685.960000014305,51.753333346048976
idP8RVfm74N86O0dszLXANIpjXv2,71,14,1560.650000001703,1913.2357142823082,1258.5857142933778,1400.6142857159887,1500.721428568874,1311.4928571411542,1298.9142857108798,1326.7285714319773,17.635714282592136
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,69,4,2061.749999999942,2533.25,1346.0,1706.2499999999418,1200.5,1642.4999999999418,1155.0,1090.7499999999418,98.83333333331393
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,53,9,2127.844444440471,2497.0333333147896,1781.6111111177338,1781.2888888782925,1903.5,2096.933333330684,1809.9777777791023,1777.022222214275,105.10740740431675
jzdk8E3tVXTXIozlfK5oeEb7wWp2,77,16,1269.7625000178814,1364.4812500104308,1093.25,1281.5875000059605,1284.0124999955297,1237.0266666650773,1288.77333334287,1250.6066666841507,47.92555555502577
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,89,14,1385.884615604694,2334.085714135851,1430.3857142584664,1644.7076922196609,1552.9769230622512,1621.076923076923,1547.2923075602605,1566.3307692454412,63.563736272818915
kI0YdycDU0X5hcoEPjEON3Ionyd2,80,15,1352.657142852034,2168.4733333349227,1308.8599999984106,1573.1399999976159,1447.4733333309491,1376.5600000023842,1429.3466666618983,1448.3466666738193,22.56666666799121
kR2rCtaPyPaj7YMizKUDn5xL2qx1,80,9,1520.3777777777932,1755.6222222222068,871.9444444444185,966.9666666666874,1291.277777777752,1273.1333333333282,890.8888888888889,976.8666666667236,133.72962962963655
kgSRatooJJfDaMZ2yIURqb8aJuE3,62,11,1186.859999999404,2036.3545454564419,1104.381818182089,1222.3999999978325,1275.8818181834438,1303.3545454537327,1116.9818181842566,1259.0272727242925,66.32424242388122
lHDkoPQu5reNCO45npeYSS9eLQl1,101,12,1531.6333333651226,2039.0833333333333,1268.4083333412807,1279.275000055631,1260.5333333412807,1260.9416667222977,1349.2249999841054,1176.8166666825612,-2.4888888729943424
