outcome,outcome_label,n,beta_ucla,p_ucla,beta_ucla_x_gender,p_ucla_x_gender,r_squared
mean_lapse_duration,Mean Lapse Duration,171,0.13265797604168997,0.6528105886063407,0.10958321338828926,0.7492302291781001,0.013174273597696073
n_lapse_episodes,Number of Lapse Episodes,171,-0.8160141423151431,0.21271665192990952,0.7297289575818037,0.363557069602766,0.04285018865853796
first_try_recovery_rate,First-Try Recovery Rate,171,-0.018687116076154597,0.6323141581760052,-0.05216272866851958,0.267899455676633,0.02508066991684521
extended_lapses_3plus,Extended Lapses (3+ trials),171,-0.11222701229654546,0.6562080278899365,0.2999922089531812,0.37134906791243016,0.039574887983388596
