participant_id,n_trials,bic_2state,aic_2state,ll_2state,converged_2state,bic_3state,aic_3state,ll_3state,converged_3state,delta_bic,delta_aic,lr_statistic,lr_pvalue,preferred_bic,preferred_aic,preferred_lr
06qcrpGKL6Vc3LVplFQC90VAcRm1,79,1163.4689796112168,1146.8828446439477,-566.4414223219738,True,1167.9980561704253,1134.825786235887,-553.4128931179436,True,4.529076559208534,-12.057058408060584,26.057058408060584,0.00021725868280253469,2-state,3-state,3-state
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,75,1081.315136958995,1065.0927201642407,-525.5463600821204,True,1092.8162361310601,1060.3714025415518,-516.1857012707759,True,11.501099172065096,-4.721317622688957,18.721317622688957,0.0046611104991604035,2-state,3-state,3-state
0d841i8KPjdjwCYfDuUUXj0SEjH2,61,942.2665312793628,927.4904142301496,-456.7452071150748,True,959.5676507901139,930.0154166916876,-451.0077083458438,True,17.301119510751164,2.5250024615380653,11.474997538461935,0.07475955958404301,2-state,2-state,2-state
0oa5NYVnIBS9NmrmRAZrahXDctP2,71,987.5112468439382,971.672487704649,-478.8362438523245,True,983.148423387876,951.4709051092976,-461.7354525546488,True,-4.362823456062188,-20.201582595351397,34.2015825953514,6.150484660127908e-06,3-state,3-state,3-state
146QT9LupyU2BAiTsB3PMIpVXM22,76,1127.06719666843,1110.7520632864255,-548.3760316432127,True,1147.3055983980883,1114.6753316340796,-543.3376658170398,True,20.238401729658335,3.9232683476541297,10.07673165234587,0.12145765340676251,2-state,2-state,2-state
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,60,929.5035069310869,914.8430949955322,-450.4215474977661,True,956.8691501691079,927.5483262979985,-449.77416314899926,True,27.365643238020994,12.705231302466359,1.294768697533641,0.9719453780248201,2-state,2-state,2-state
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,60,928.4877905148693,913.8273785793145,-449.91368928965727,True,951.6505258036266,922.3297019325172,-447.1648509662586,True,23.16273528875729,8.502323353202655,5.497676646797345,0.4817375580454655,2-state,2-state,2-state
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,81,1232.8061100969926,1216.0449660142856,-601.0224830071428,True,1262.5049337817707,1228.9826456163564,-600.4913228081782,True,29.698823684778063,12.93767960207083,1.0623203979291702,0.983139104119812,2-state,2-state,2-state
23AEyocWhqY955WHbxhHRSgQ1ms2,79,1195.7671905875181,1179.181055620249,-582.5905278101245,True,1226.9817140926427,1193.8094441581045,-582.9047220790522,True,31.21452350512459,14.628388537855471,-0.6283885378554714,1.0,2-state,2-state,2-state
2h5FgHUEvBS1twD5DqbTIRrMm1f2,85,1332.0018752093374,1314.9033164139053,-650.4516582069526,True,1355.3393723510474,1321.1422547601828,-646.5711273800914,True,23.337497141709946,6.238938346277564,7.761061653722436,0.2561364155434598,2-state,2-state,2-state
2zDXvJKvjeejeOSNbtDbtSI5cdz1,65,1005.6065786177561,990.3858677284867,-488.19293386424334,True,1031.9838180810361,1001.5423963024972,-486.7711981512486,True,26.377239463280034,11.156528574010508,2.8434714259894918,0.8282208565241781,2-state,2-state,2-state
3WijiOiVCoMbn80F05SPYsxl0TC2,74,1119.9108302668574,1103.7823746144281,-544.8911873072141,True,1124.737360388244,1092.4804490833856,-532.2402245416928,True,4.826530121386668,-11.30192553104257,25.30192553104257,0.00030017710451357704,2-state,3-state,3-state
3xCaqfcHxRQxuOlEzXz3PNcHODH2,68,1030.705825379922,1015.1692714436894,-500.5846357218447,True,1058.8199635902658,1027.7468557178004,-499.87342785890013,True,28.114138210343754,12.577584274111018,1.4224157258890955,0.9644806563427792,2-state,2-state,2-state
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,77,1151.8572858005416,1135.4506478475657,-560.7253239237829,True,1172.865901003587,1140.0526250976354,-556.0263125488177,True,21.008615203045338,4.6019772500696945,9.398022749930306,0.15239975791072335,2-state,2-state,2-state
5OOi73igsahMZ5IVKQwwyhnj4Cn2,59,901.1456961106568,886.6029340033167,-436.30146700165835,True,926.7629715309479,897.6774473162678,-434.8387236581339,True,25.617275420291094,11.074513312951126,2.925486687048874,0.8181392883185241,2-state,2-state,2-state
5rXSa3anB5ejmFrnwUsTB82byup1,84,1175.9296004888977,1158.9138828969944,-572.4569414484972,True,1206.5243581228483,1172.4929229390418,-572.2464614695209,True,30.59475763395062,13.579040042047382,0.4209599579526184,0.9986717238415815,2-state,2-state,2-state
5zxa5CMLGQSSonWOXqXf0QNS3PH3,84,1229.6777099834105,1212.6619923915073,-599.3309961957536,True,1264.5412205468178,1230.5097853630114,-601.2548926815057,True,34.86351056340732,17.847792971504077,-3.8477929715040773,1.0,2-state,2-state,2-state
62fAfeQc27bZelkPX7G54T3gvci2,62,924.3915001616375,909.5015594663219,-447.7507797331609,True,939.9188843356468,910.1390029450155,-441.06950147250774,True,15.527384174009285,0.6374434786936263,13.362556521306374,0.03762649016661379,2-state,2-state,3-state
6ABZuv4jbjgE0B8TeyUk6nwVb122,78,1168.2584524337356,1151.7614906469084,-568.8807453234542,True,1197.5323263397172,1164.538402766063,-568.2692013830315,True,29.273873905981645,12.776912119154531,1.223087880845469,0.9757289762598329,2-state,2-state,2-state
6WFCyGwk71XLPBmbe4Vav3eotVm1,66,972.64358337712,957.316000182935,-471.6580000914675,True,988.2385477777182,957.5833813893482,-464.7916906946741,True,15.5949644005982,0.2673812064132335,13.732618793586767,0.032769825566967725,2-state,2-state,3-state
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,72,1073.2826923828509,1057.3460295497384,-521.6730147748692,True,1094.4340947179849,1062.5607690517602,-517.2803845258801,True,21.15140233513398,5.214739502021757,8.785260497978243,0.18601990316874628,2-state,2-state,2-state
80UJMJbCOMgs6YVpsMgXfYTzw6o2,68,1002.9290688895478,987.3925149533151,-486.69625747665754,True,1028.0063242947463,996.9332164222807,-484.46660821114034,True,25.077255405198457,9.540701468965608,4.459298531034392,0.614774669942215,2-state,2-state,2-state
87w5Le0CgZhSfYAaOH3Xd2fc98l1,105,1589.7987152667238,1571.2209928156212,-778.6104964078106,True,1608.281385710852,1571.1259408086466,-771.5629704043233,True,18.48267044412819,-0.09505200697458349,14.095052006974583,0.02859221619260055,2-state,3-state,3-state
8bwaafIhKVMNBoHaXFcY8HirS9u2,77,1093.7711621586843,1077.3645242057084,-531.6822621028542,True,1119.4686541301878,1086.6553782242363,-529.3276891121182,True,25.697491971503496,9.290854018527853,4.7091459814721475,0.581620961421585,2-state,2-state,2-state
