participant_id,n_trials,n_lapse_episodes,lapse_episodes_per_100_trials,mean_lapse_duration,median_lapse_duration,max_lapse_duration,sd_lapse_duration,n_recovered_episodes,recovery_rate,single_trial_lapses,extended_lapses_3plus,first_try_recovery_rate
5OOi73igsahMZ5IVKQwwyhnj4Cn2,59,5,8.47457627118644,1.0,1.0,1,0.0,5,1.0,5,0,1.0
5rXSa3anB5ejmFrnwUsTB82byup1,84,4,4.761904761904762,6.5,6.5,12,4.031128874149275,4,1.0,1,3,0.25
5zxa5CMLGQSSonWOXqXf0QNS3PH3,84,15,17.857142857142858,1.8,1.0,5,1.2220201853215573,14,0.9333333333333333,9,3,0.6
62fAfeQc27bZelkPX7G54T3gvci2,62,15,24.193548387096776,1.0,1.0,1,0.0,15,1.0,15,0,1.0
6ABZuv4jbjgE0B8TeyUk6nwVb122,78,15,19.230769230769234,2.3333333333333335,1.0,6,1.7384539747207066,15,1.0,8,5,0.5333333333333333
6WFCyGwk71XLPBmbe4Vav3eotVm1,66,10,15.151515151515152,1.1,1.0,2,0.3,10,1.0,9,0,0.9
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,72,5,6.944444444444445,8.0,7.0,22,7.694153624668538,5,1.0,2,3,0.4
80UJMJbCOMgs6YVpsMgXfYTzw6o2,68,6,8.823529411764707,3.0,2.0,6,1.8257418583505538,6,1.0,1,2,0.16666666666666666
87w5Le0CgZhSfYAaOH3Xd2fc98l1,105,12,11.428571428571429,4.0,2.5,13,3.4641016151377544,12,1.0,3,6,0.25
8bwaafIhKVMNBoHaXFcY8HirS9u2,77,4,5.194805194805195,4.25,4.5,6,1.7853571071357126,4,1.0,0,3,0.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,82,8,9.75609756097561,1.125,1.0,2,0.33071891388307384,8,1.0,7,0,0.875
8mscvscxtXf7EbbLqCyy4a4pl2q2,68,4,5.88235294117647,1.25,1.0,2,0.4330127018922193,4,1.0,3,0,0.75
9Xz1RIwnPXgyRqmucudW9VeuDnq1,68,8,11.76470588235294,1.125,1.0,2,0.33071891388307384,8,1.0,7,0,0.875
9l7DjYLs0XdgwykPZR5E01KTZfu2,67,7,10.44776119402985,1.1428571428571428,1.0,2,0.3499271061118826,7,1.0,6,0,0.8571428571428571
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,76,6,7.894736842105263,2.8333333333333335,2.0,8,2.3392781412696997,6,1.0,1,1,0.16666666666666666
ASGvwW80q7VY7xFaLGZhVuErUQu2,78,14,17.94871794871795,1.0714285714285714,1.0,2,0.25753937681885636,14,1.0,13,0,0.9285714285714286
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,85,4,4.705882352941177,2.75,3.0,4,1.299038105676658,4,1.0,1,2,0.25
AsXBOflrszVNKoFqbN61bMJqS0k2,103,7,6.796116504854369,1.2857142857142858,1.0,2,0.45175395145262565,7,1.0,5,0,0.7142857142857143
AyAnuCaltBbpEYbudoyNzTvXlcC2,85,7,8.235294117647058,4.285714285714286,2.0,11,3.614031611621005,6,0.8571428571428571,2,3,0.2857142857142857
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,72,6,8.333333333333332,4.0,2.0,16,5.385164807134504,6,1.0,2,1,0.3333333333333333
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,76,16,21.052631578947366,2.1875,2.0,6,1.589762167747113,15,0.9375,7,4,0.4375
