participant_id,start,duration,recovery_trial,trials_from_end
06qcrpGKL6Vc3LVplFQC90VAcRm1,0,3,3.0,76
06qcrpGKL6Vc3LVplFQC90VAcRm1,5,1,6.0,73
06qcrpGKL6Vc3LVplFQC90VAcRm1,14,2,16.0,63
06qcrpGKL6Vc3LVplFQC90VAcRm1,26,2,28.0,51
06qcrpGKL6Vc3LVplFQC90VAcRm1,39,1,40.0,39
06qcrpGKL6Vc3LVplFQC90VAcRm1,48,1,49.0,30
06qcrpGKL6Vc3LVplFQC90VAcRm1,67,1,68.0,11
06qcrpGKL6Vc3LVplFQC90VAcRm1,69,1,70.0,9
06qcrpGKL6Vc3LVplFQC90VAcRm1,72,1,73.0,6
06qcrpGKL6Vc3LVplFQC90VAcRm1,78,1,,0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0,1,1.0,74
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,9,2,11.0,64
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,25,3,28.0,47
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,29,1,30.0,45
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,31,1,32.0,43
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,34,1,35.0,40
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,43,1,44.0,31
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,53,1,54.0,21
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,61,1,62.0,13
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,65,1,66.0,9
0d841i8KPjdjwCYfDuUUXj0SEjH2,0,2,2.0,59
0d841i8KPjdjwCYfDuUUXj0SEjH2,3,2,5.0,56
0d841i8KPjdjwCYfDuUUXj0SEjH2,6,2,8.0,53
0d841i8KPjdjwCYfDuUUXj0SEjH2,9,1,10.0,51
0d841i8KPjdjwCYfDuUUXj0SEjH2,11,3,14.0,47
0d841i8KPjdjwCYfDuUUXj0SEjH2,15,2,17.0,44
0d841i8KPjdjwCYfDuUUXj0SEjH2,18,1,19.0,42
0d841i8KPjdjwCYfDuUUXj0SEjH2,20,2,22.0,39
0d841i8KPjdjwCYfDuUUXj0SEjH2,23,3,26.0,35
0d841i8KPjdjwCYfDuUUXj0SEjH2,27,2,29.0,32
0d841i8KPjdjwCYfDuUUXj0SEjH2,30,1,31.0,30
0d841i8KPjdjwCYfDuUUXj0SEjH2,32,2,34.0,27
0d841i8KPjdjwCYfDuUUXj0SEjH2,35,2,37.0,24
0d841i8KPjdjwCYfDuUUXj0SEjH2,38,1,39.0,22
0d841i8KPjdjwCYfDuUUXj0SEjH2,40,6,46.0,15
0d841i8KPjdjwCYfDuUUXj0SEjH2,47,2,49.0,12
0d841i8KPjdjwCYfDuUUXj0SEjH2,50,7,57.0,4
0d841i8KPjdjwCYfDuUUXj0SEjH2,58,1,59.0,2
0d841i8KPjdjwCYfDuUUXj0SEjH2,60,1,,0
0oa5NYVnIBS9NmrmRAZrahXDctP2,0,1,1.0,70
146QT9LupyU2BAiTsB3PMIpVXM22,0,1,1.0,75
146QT9LupyU2BAiTsB3PMIpVXM22,3,1,4.0,72
146QT9LupyU2BAiTsB3PMIpVXM22,11,1,12.0,64
