participant_id,n_trials,converged,focus_mean_rt,lapse_mean_rt,focus_occupancy,lapse_occupancy,p_focus_to_focus,p_focus_to_lapse,p_lapse_to_focus,p_lapse_to_lapse
06qcrpGKL6Vc3LVplFQC90VAcRm1,79,True,833.106495678923,1540.1596685380339,0.8227848101265823,0.17721518987341772,0.7991619477895617,0.20083805221043827,0.675341314483607,0.324658685516393
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,75,True,960.0393578190827,1906.9863925047894,0.8266666666666667,0.17333333333333334,0.8209318215281421,0.17906817847185783,0.7373429694761873,0.26265703052381273
0d841i8KPjdjwCYfDuUUXj0SEjH2,61,True,1104.707014012386,1472.5228004231094,0.29508196721311475,0.7049180327868853,0.012993705555044678,0.9870062944449552,0.3081175042084249,0.691882495791575
0oa5NYVnIBS9NmrmRAZrahXDctP2,71,True,828.1800000003406,2872.5999999940395,0.9859154929577465,0.014084507042253521,1.0,0.0,1.0,0.0
146QT9LupyU2BAiTsB3PMIpVXM22,76,True,915.5562861432095,1471.097951925237,0.7236842105263158,0.27631578947368424,0.748663718581479,0.25133628141852116,0.5046691708099648,0.49533082919003524
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,60,True,1488.0729543285022,2461.201244272682,0.9166666666666666,0.08333333333333333,0.9125955748217714,0.08740442517822859,1.0,3.1879295570946007e-35
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,60,True,1158.2040543344467,1889.0693180159624,0.7333333333333333,0.26666666666666666,0.5802873604958324,0.4197126395041676,0.815028391760185,0.18497160823981498
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,81,True,1255.6816919845983,2330.6790979935367,0.9012345679012346,0.09876543209876543,0.896726987960466,0.10327301203953396,0.9999985093183689,1.4906816311557263e-06
23AEyocWhqY955WHbxhHRSgQ1ms2,79,True,1114.1057517741724,2060.547377991095,0.8734177215189873,0.12658227848101267,0.8410741423166993,0.15892585768330064,0.8656071644314496,0.13439283556855042
2h5FgHUEvBS1twD5DqbTIRrMm1f2,85,True,994.7937326311938,2016.9146839794473,0.6470588235294118,0.35294117647058826,0.6664426982660889,0.3335573017339111,0.5057542964543867,0.4942457035456133
2zDXvJKvjeejeOSNbtDbtSI5cdz1,65,True,1285.1921889266862,2591.2728937729053,0.8769230769230769,0.12307692307692308,0.9097325188662619,0.09026748113373807,0.6261837564489389,0.373816243551061
