nll,bic,aic,n_trials,alpha,beta,participant_id
110.88269492886553,230.57882835225956,225.76538985773107,82,0.9853529374383606,0.7412246191211399,06qcrpGKL6Vc3LVplFQC90VAcRm1
106.75938197551848,222.20637479474433,217.51876395103696,77,0.01,0.1,0ZtXlQtAJkW6jS21vfMOtNL4OnL2
94.278308968108,196.99563334656824,192.556617936216,68,0.01,0.1,0d841i8KPjdjwCYfDuUUXj0SEjH2
101.20098597530315,210.98289083290308,206.4019719506063,73,0.01,0.1,0oa5NYVnIBS9NmrmRAZrahXDctP2
106.75409689975176,222.1958046432109,217.50819379950352,77,0.01,0.1,146QT9LupyU2BAiTsB3PMIpVXM22
94.59472862414391,197.65767025748235,193.18945724828782,69,0.17947743566458654,1.6412040983558078,1Vb7DcXYw9R86bw5qj9eBk9fPqA2
99.82994939214213,208.21323102231636,203.65989878428425,72,0.01,0.1,1dpmVw8fpcc2IHs0s9WqdU8Yvi53
122.01883862915963,252.99235088727568,248.03767725831926,88,0.01,0.1,1tT7dcLvf0bMGBdBWWYd8YkdJwr1
116.72716485474574,242.33963222247212,237.45432970949147,85,0.99,0.4368666778936558,23AEyocWhqY955WHbxhHRSgQ1ms2
136.83210440100797,282.8544485022851,277.66420880201593,99,0.01,3.109299177612192,2h5FgHUEvBS1twD5DqbTIRrMm1f2
98.32750909537882,205.18037794484027,200.65501819075763,71,0.99,0.16705452647825325,2zDXvJKvjeejeOSNbtDbtSI5cdz1
110.9186264718188,230.60130621298535,225.8372529436376,80,0.01,0.1,3WijiOiVCoMbn80F05SPYsxl0TC2
95.67075837788383,199.80972976496219,195.34151675576766,69,0.01,0.10000000000000009,3xCaqfcHxRQxuOlEzXz3PNcHODH2
113.69444275220604,236.20232399894059,231.3888855044121,82,0.01,0.1,4ySuGdFDDmaAr6JUXbD4UIY6BQ13
97.03310312219534,202.5631967284894,198.06620624439068,70,0.6577103011436912,0.1,5OOi73igsahMZ5IVKQwwyhnj4Cn2
117.17565831442728,243.2366191418352,238.35131662885456,85,0.2220482327126965,1.050011698574677,5rXSa3anB5ejmFrnwUsTB82byup1
120.62112510242015,250.17406644214947,245.2422502048403,87,0.01,0.1,5zxa5CMLGQSSonWOXqXf0QNS3PH3
96.75864505672665,202.01428059755202,197.5172901134533,70,0.884832013511761,0.31321550641336166,62fAfeQc27bZelkPX7G54T3gvci2
122.00431581399936,252.96330525695512,248.0086316279987,88,0.01,0.1,6ABZuv4jbjgE0B8TeyUk6nwVb122
95.67513180493643,199.81847661906738,195.35026360987285,69,0.01,0.1,6WFCyGwk71XLPBmbe4Vav3eotVm1
105.38763627658822,219.4367392337491,214.77527255317645,76,0.01,0.1,7cvQFrzIDEVAkFCcGAHZPUvJ2MF3
98.43282704156664,205.39101383721592,200.86565408313328,71,0.01,0.1,80UJMJbCOMgs6YVpsMgXfYTzw6o2
177.4598823448764,364.62382521759207,358.9197646897528,128,0.01,0.1,87w5Le0CgZhSfYAaOH3Xd2fc98l1
113.67807511824294,236.1695887310144,231.3561502364859,82,0.01,0.1,8bwaafIhKVMNBoHaXFcY8HirS9u2
135.87237076285393,280.914676483049,275.74474152570787,98,0.01,0.1,8cOQBMgQEYSlJ4CK60pFMmBVEBV2
