,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope,WCST Confirmation RT,WCST Exploitation RT,WCST Confirm - Exploit RT
UCLA,"[1.00, 1.00]","[0.580, 0.732]","[0.388, 0.592]","[0.448, 0.637]","[-0.122, 0.148]","[-0.244, 0.023]","[0.091, 0.347]","[0.023, 0.286]","[-0.049, 0.218]","[-0.023, 0.243]"
DASS-Dep,"[0.580, 0.732]","[1.00, 1.00]","[0.575, 0.729]","[0.585, 0.736]","[-0.165, 0.104]","[-0.276, -0.012]","[-0.040, 0.227]","[-0.157, 0.113]","[-0.066, 0.203]","[-0.225, 0.042]"
DASS-Anx,"[0.388, 0.592]","[0.575, 0.729]","[1.00, 1.00]","[0.686, 0.805]","[-0.123, 0.147]","[-0.260, 0.005]","[-0.004, 0.261]","[-0.201, 0.067]","[-0.133, 0.136]","[-0.217, 0.050]"
DASS-Str,"[0.448, 0.637]","[0.585, 0.736]","[0.686, 0.805]","[1.00, 1.00]","[-0.120, 0.150]","[-0.266, -0.001]","[-0.022, 0.244]","[-0.182, 0.086]","[-0.164, 0.105]","[-0.166, 0.103]"
Stroop Interference RT,"[-0.122, 0.148]","[-0.165, 0.104]","[-0.123, 0.147]","[-0.120, 0.150]","[1.00, 1.00]","[-0.069, 0.199]","[-0.047, 0.221]","[0.057, 0.317]","[-0.002, 0.263]","[-0.027, 0.239]"
WCST PE Rate,"[-0.244, 0.023]","[-0.276, -0.012]","[-0.260, 0.005]","[-0.266, -0.001]","[-0.069, 0.199]","[1.00, 1.00]","[-0.128, 0.142]","[-0.113, 0.156]","[0.009, 0.273]","[-0.239, 0.027]"
Stroop Interference RT Slope,"[0.091, 0.347]","[-0.040, 0.227]","[-0.004, 0.261]","[-0.022, 0.244]","[-0.047, 0.221]","[-0.128, 0.142]","[1.00, 1.00]","[-0.064, 0.204]","[-0.053, 0.215]","[-0.125, 0.145]"
WCST Confirmation RT,"[0.023, 0.286]","[-0.157, 0.113]","[-0.201, 0.067]","[-0.182, 0.086]","[0.057, 0.317]","[-0.113, 0.156]","[-0.064, 0.204]","[1.00, 1.00]","[0.511, 0.683]","[0.577, 0.730]"
WCST Exploitation RT,"[-0.049, 0.218]","[-0.066, 0.203]","[-0.133, 0.136]","[-0.164, 0.105]","[-0.002, 0.263]","[0.009, 0.273]","[-0.053, 0.215]","[0.511, 0.683]","[1.00, 1.00]","[-0.326, -0.067]"
WCST Confirm - Exploit RT,"[-0.023, 0.243]","[-0.225, 0.042]","[-0.217, 0.050]","[-0.166, 0.103]","[-0.027, 0.239]","[-0.239, 0.027]","[-0.125, 0.145]","[0.577, 0.730]","[-0.326, -0.067]","[1.00, 1.00]"
