﻿outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_ols,p_ucla_wald,ucla_beta,ucla_se,ucla_t,ucla_p,delta_r2_interaction,p_interaction_ols,p_interaction_wald,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p
WCST Reaction Time SD,wcst_sd_rt,197,0.0011150276707783,0.0073235630273441,0.0339998429297443,0.0358209868660808,0.0062085353565658,0.7544514652768167,0.0266762799024001,0.0230839738266732,0.0230839738266736,80.5225465137345,35.15334578903862,2.290608324936249,0.0230839738266741,0.0018211439363364,0.5509013605795559,0.5509013605795559,z_ucla_score:C(gender_male)[T.1],31.464452830427724,52.66183434935858,0.5974811401686573,0.550901360579559,119,58.043911428831024,44.42396291446417,0.194004966988265,78,117.46007182644723,60.28583334354943,0.0552666304849974
WCST Post-Error Slowing (ms),wcst_pes,196,0.0053886863978355,0.0098469543797226,0.0303858714470148,0.0303901974320222,0.004458267981887,0.8360753482420766,0.0205389170672922,0.0468367304510188,0.0468367304510207,145.33675230376352,72.63655629011794,2.0008761390514365,0.0468367304510197,4.325985007325173e-06,0.9769259173568404,0.9769259173568404,z_ucla_score:C(gender_male)[T.1],-3.153123065209215,108.87244860176148,-0.0289616253304162,0.9769259173567894,118,96.63461238975344,102.5654391743068,0.3481307896516622,78,240.23712958882783,97.01998557515104,0.0156320299320589
WCST RT IQR,wcst_iqr_rt,197,0.0062145229799067,0.0128894291522155,0.0364019323251783,0.0411552378993114,0.0066749061723088,0.7313740775537625,0.0235125031729627,0.0325656900702871,0.0325656900702872,67.81281408118008,31.49441117826698,2.1531697702599044,0.0325656900702875,0.0047533055741331,0.334304462473493,0.3343044624734766,z_ucla_score:C(gender_male)[T.1],45.59879648461139,47.108444141540495,0.9679537780446904,0.3343044624734866,119,54.26863496911946,41.40972300779613,0.1926744325458054,78,74.24365929013847,49.52615673668516,0.1382249951486822
WCST RT IQR (correct),wcst_iqr_rt_correct,197,0.0185300899239416,0.0259620354086584,0.0562891105394399,0.0603564509648656,0.0074319454847168,0.6925561805424778,0.0303270751307814,0.0143543906537809,0.0143543906537809,66.36271413882936,26.85663265132754,2.47099906382154,0.0143543906537813,0.0040673404254256,0.3668862070763704,0.3668862070763704,z_ucla_score:C(gender_male)[T.1],36.34605816757011,40.18395898405392,0.904491719743025,0.3668862070763826,119,66.0708882070166,38.41814466565742,0.0882095442193177,78,55.2656322702692,34.36069289678381,0.1121248057974632
Stroop Incongruent RT Slope,stroop_incong_slope,197,0.0105569681875384,0.023258170877172,0.0575438531298534,0.0683024798191054,0.0127012026896335,0.479985441864686,0.0342856822526813,0.0092626185933593,0.0092626185933596,0.5626677430683588,0.2140175537029504,2.62907286497314,0.0092626185933596,0.0107586266892519,0.1412567472054644,0.1412567472054658,z_ucla_score:C(gender_male)[T.1],0.4713757312217519,0.3190769026867854,1.4773107274532722,0.1412567472054605,119,0.2305221751829368,0.2644477287726689,0.3852140244329418,78,1.0790516194451716,0.358467873648606,0.0035981323296494
WCST HMM P(Lapse->Focus),wcst_hmm_trans_to_focus,197,0.0079843739775428,0.0287099555437621,0.0596134455781838,0.0640366858256766,0.0207255815662192,0.2568329554329401,0.0309034900344217,0.0133104046520666,0.0133104046520663,-0.0679051461808233,0.0271753614516579,-2.4987761911325173,0.0133104046520664,0.0044232402474928,0.3458211415586584,0.3458211415586584,z_ucla_score:C(gender_male)[T.1],0.0384204429959443,0.0406528141844364,0.9450869212063856,0.345821141558671,119,-0.078297697325839,0.0319862399836816,0.0159093458146938,78,-0.0449600197662091,0.0498219906230597,0.3698465223499824
WCST HMM P(Lapse->Lapse),wcst_hmm_stay_lapse,197,0.0079843739775427,0.0287099555437619,0.0596134455781837,0.0640366858256764,0.0207255815662192,0.2568329554329401,0.0309034900344217,0.0133104046520666,0.0133104046520663,0.0679051461808232,0.0271753614516579,2.498776191132516,0.0133104046520664,0.0044232402474927,0.3458211415586698,0.3458211415586584,z_ucla_score:C(gender_male)[T.1],-0.0384204429959443,0.0406528141844364,-0.9450869212063862,0.3458211415586705,119,0.0782976973258388,0.0319862399836816,0.0159093458146941,78,0.0449600197662093,0.0498219906230597,0.3698465223499811
"Stroop Slow Run Mean (incongruent, correct)",stroop_slow_run_mean_incong_correct,197,0.0022751622100577,0.0044278652358691,0.0259856439596355,0.0259988148286828,0.0021527030258113,0.9374134090271482,0.0215577787237664,0.0416718899795193,0.0416718899795169,-0.0874370405979767,0.0426382452837251,-2.0506716450489373,0.0416718899795179,1.3170869047285372e-05,0.9597340417389738,0.9597340417394692,z_ucla_score:C(gender_male)[T.1],0.0032321673619589,0.0639345282769578,0.050554331893364,0.9597340417394882,119,-0.0571413292599263,0.054759025271154,0.298941631637167,78,-0.1552535874201326,0.0674292966596194,0.0242024150819887
"Stroop Fast Run Mean (incongruent, correct)",stroop_fast_run_mean_incong_correct,197,0.0046059570407712,0.0053633801605276,0.0368966813306967,0.0370106414819757,0.0007574231197563,0.9858284219934048,0.0315333011701691,0.0134789090196074,0.0134789090196081,-0.1156479898178814,0.0463674282021511,-2.4941644232171627,0.0134789090196083,0.0001139601512789,0.8812763409469414,0.8812763409468308,z_ucla_score:C(gender_male)[T.1],-0.0103973594185104,0.0695226616235129,-0.149553529391832,0.8812763409468966,119,-0.0883258201023107,0.0573767236525437,0.1265019237724252,78,-0.174811089497633,0.0772654241005667,0.0266861935798587
Stroop CV Fatigue Slope (Q4-Q1),stroop_cv_fatigue_slope,197,0.0103205366193731,0.0137797864794337,0.0439231361847807,0.0441629471246877,0.0034592498600606,0.8801144240153309,0.0301433497053469,0.0152929789168178,0.0152929789168178,0.0200760010441573,0.0082025910064873,2.4475194518755568,0.015292978916818,0.0002398109399069,0.8278528430380064,0.8278528430378939,z_ucla_score:C(gender_male)[T.1],-0.0026779910963449,0.0122980332238838,-0.2177576729215605,0.8278528430378729,119,0.0150662503555865,0.0098756349217549,0.1299040434254786,78,0.0323977048497791,0.0146199885977308,0.0298537727131431
WCST RT Slope within Category,wcst_rt_slope_within_category,197,0.0011424125907176,0.003464744250232,0.0440063228395553,0.0475851299956354,0.0023223316595143,0.9306374307227392,0.0405415785893232,0.0050243746417403,0.0050243746417403,-12.765028520072985,4.4969925844153975,-2.8385700622035643,0.0050243746417403,0.0035788071560801,0.4004462727850508,0.4004462727850579,z_ucla_score:C(gender_male)[T.1],-5.671968235393508,6.730492165996161,-0.8427271134865092,0.4004462727850675,119,-7.77907132559995,5.943772380191248,0.1932654451604785,78,-21.27750372260092,7.066553892364343,0.0035893294159396
