role,task,metric,outcome,outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,p_ucla_wald,delta_r2_ucla,p_ucla_ols,delta_r2_interaction,p_interaction_wald,ucla_fdr_q
Primary-Benchmark,PRP,PRP Effect (RT2 Short - Long),PRP Delay Effect,prp_bottleneck,197,18.501996146546997,14.414763675367777,1.2835448824016142,0.2008644583497074,0.2008644583497039,0.0077602617673839,0.2008644583497039,0.0135936508943116,0.0894020690335272,0.5021611458742598
Primary-Benchmark,Stroop,RT Interference (Inc - Con),Stroop Interference Effect,stroop_interference,197,7.528208792668106,9.98329974276947,0.7540802126191298,0.4517345887396812,0.4517345887396801,0.0029397567461741,0.4517345887397054,0.0074414948838211,0.2311959738129245,0.6935321738096734
Primary-Benchmark,WCST,Perseverative Error Rate,WCST Perseverative Error Rate,pe_rate,197,-0.0533825218494116,0.6034987655667245,-0.0884550638629426,0.9296081616218428,0.9296081616219352,3.976018196316655e-05,0.9296081616219352,4.537189102205019e-08,0.9976252875695172,0.9296081616219352
Primary-Dynamic,Stroop,Time-on-Task Slope,Stroop Incongruent RT Slope,stroop_incong_slope,197,0.5626677430683588,0.2140175537029504,2.62907286497314,0.0092626185933596,0.0092626185933596,0.0342856822526813,0.0092626185933593,0.0107586266892519,0.1412567472054658,0.046313092966797996
Primary-Dynamic,WCST,Failure to Maintain Set,WCST Failure to Maintain Set,wcst_failure_to_maintain_set,197,-0.050880545892533,0.0860058570381735,-0.591593964001193,0.5548257390477461,0.5548257390477387,0.0018214489846458,0.5548257390477387,9.5701524850611e-05,0.8925550758105922,0.6935321738096734
Secondary-Tradeoff,PRP,T1 Accuracy (SOA 1200),PRP T1 Accuracy (SOA 1200),prp_t1_acc_soa_1200,197,-0.0030593273126645,0.0023439382757984,-1.3052081380523368,0.1934003893033051,0.1934003893033041,0.0082854472431685,0.1934003893033041,4.8635660385154544e-05,0.9206573011578136,
Secondary-Tradeoff,PRP,T1 Accuracy (SOA 150),PRP T1 Accuracy (SOA 150),prp_t1_acc_soa_150,197,-0.0008564372763843,0.0041322311049274,-0.2072578359334872,0.836030463374233,0.8360304633742144,0.0002225941831883,0.8360304633742939,0.0262680533157003,0.0239604282978478,
Secondary-Tradeoff,PRP,T1 Accuracy (SOA 300),PRP T1 Accuracy (SOA 300),prp_t1_acc_soa_300,197,0.0013239493339307,0.0030798309523131,0.4298772739251627,0.6677720552600295,0.6677720552600154,0.0009326050009561,0.667772055260069,0.0022927801371005,0.5017342245118117,
Secondary-Tradeoff,PRP,T1 Accuracy (SOA 50),PRP T1 Accuracy (SOA 50),prp_t1_acc_soa_50,197,-0.0048348539890375,0.0036298284150689,-1.3319786601940005,0.1844627530412933,0.1844627530412929,0.0091340731224363,0.1844627530413024,0.0090153780472982,0.1864620305956614,
Secondary-Tradeoff,PRP,T1 Accuracy (SOA 600),PRP T1 Accuracy (SOA 600),prp_t1_acc_soa_600,197,0.0010499529652578,0.0029287678204403,0.3584964837191999,0.7203698092123084,0.7203698092123225,0.0006524905804815,0.7203698092123445,0.000222758399241,0.8347210404292693,
Secondary-Tradeoff,Stroop,Accuracy Interference,Stroop Accuracy Interference,stroop_acc_interference,197,-0.0009530643186704,0.0034705491374072,-0.2746148465088207,0.7839105223886522,0.7839105223886674,0.0003920184588261,0.7839105223886969,0.0012709284444389,0.6222500467431227,
Secondary-Tradeoff,WCST,Non-Perseverative Errors,WCST Non-Perseverative Errors,wcst_nonperseverative_errors,197,-0.6903739767772668,1.048666720950672,-0.6583349723841777,0.5111198284593554,0.5111198284593642,0.0022201981227836,0.5111198284593745,0.0107733237053554,0.1474819788383046,
Secondary-Dispersion,PRP,RT2 Coefficient of Variation (All),PRP T2 Coefficient of Variation (All),prp_t2_cv_all,197,0.0017883275849199,0.0056782960918652,0.3149408829669644,0.7531521436582642,0.7531521436582672,0.0005016853640569,0.7531521436583181,0.0002587682687881,0.8217392265801998,
Secondary-Dispersion,Stroop,RT Coefficient of Variation (All),Stroop RT Coefficient of Variation (All),stroop_cv_all,197,0.0063692911169321,0.0056282631682174,1.1316619224380262,0.2592028675125058,0.2592028675125097,0.006296976090053,0.2592028675124939,0.0071083196760296,0.2301804833378534,
Exploratory,PRP,"Ex-Gaussian sigma (SOA 150, correct)","PRP Ex-Gaussian sigma (SOA 150, correct)",prp_exg_correct_soa_150_sigma,186,33.7089491161124,13.755433128666317,2.4505916172034574,0.0152234137776989,0.0152234137776989,0.0318550445399368,0.0152234137776985,0.0002959749326904,0.8140201411253978,
Exploratory,PRP,"Ex-Gaussian sigma (SOA 600, correct)","PRP Ex-Gaussian sigma (SOA 600, correct)",prp_exg_correct_soa_600_sigma,189,-21.30349112836479,9.986783045605948,-2.13316851193018,0.0342506392977137,0.0342506392977135,0.0240586272001254,0.0342506392977124,0.0052740010061052,0.3192490685122331,
Exploratory,Stroop,Post-Error Slowing (PES),Stroop Post-Error Slowing (ms),stroop_post_error_slowing,118,29.22847230020287,43.259855411168594,0.6756488671170368,0.5006687950689247,0.5006687950689335,0.0040380601201815,0.5006687950689335,0.0027806128215356,0.5773472061645546,
