,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope,WCST Confirmation RT,WCST Exploitation RT,WCST Confirm - Exploit RT
UCLA,0.0,3.2336847135335967e-28,1.2288847621940506e-14,3.739492366876818e-18,0.8465784181425675,0.10220741076650686,0.0011008048589499948,0.022258851419258346,0.2125835400355124,0.10417994323937815
DASS-Dep,3.2336847135335967e-28,0.0,9.3730041555441e-28,1.1201396136334373e-28,0.6518882729280522,0.03309271095376677,0.1691460096380861,0.7468757767363198,0.3121205230317403,0.17674206690351002
DASS-Anx,1.2288847621940506e-14,9.3730041555441e-28,0.0,7.905221161436262e-40,0.8596641993941379,0.058992643538187506,0.05658490596697339,0.3253131203841642,0.9821389561482998,0.21837879606334756
DASS-Str,3.739492366876818e-18,1.1201396136334373e-28,7.905221161436262e-40,0.0,0.8229120858847525,0.04836848213731137,0.10107936191410466,0.479305929671237,0.6642407295252144,0.6453983139688568
Stroop Interference RT,0.8465784181425675,0.6518882729280522,0.8596641993941379,0.8229120858847525,0.0,0.33582851146831993,0.19815671631250675,0.005521795171390686,0.05309670591981124,0.11647657439970766
WCST PE Rate,0.10220741076650686,0.03309271095376677,0.058992643538187506,0.04836848213731137,0.33582851146831993,0.0,0.9173775000886604,0.7478010593392925,0.036974559275620246,0.11761792812470413
Stroop Interference RT Slope,0.0011008048589499948,0.1691460096380861,0.05658490596697339,0.10107936191410466,0.19815671631250675,0.9173775000886604,0.0,0.3016879861465238,0.23273704032900916,0.8844869295889616
WCST Confirmation RT,0.022258851419258346,0.7468757767363198,0.3253131203841642,0.479305929671237,0.005521795171390686,0.7478010593392925,0.3016879861465238,0.0,1.9011131562714843e-22,6.568080242224228e-28
WCST Exploitation RT,0.2125835400355124,0.3121205230317403,0.9821389561482998,0.6642407295252144,0.05309670591981124,0.036974559275620246,0.23273704032900916,1.9011131562714843e-22,0.0,0.003424449624215908
WCST Confirm - Exploit RT,0.10417994323937815,0.17674206690351002,0.21837879606334756,0.6453983139688568,0.11647657439970766,0.11761792812470413,0.8844869295889616,6.568080242224228e-28,0.003424449624215908,0.0
