Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,212,20.382075471698112,3.371227494388591,-20.0,29.0,20.0,-7.890546147286645,95.62434528147098
Total,UCLA Loneliness,ucla_score,212,40.632075471698116,11.114932078212703,20.0,73.0,40.0,0.3638200267347495,-0.34935815301918893
Total,DASS-21 Depression,dass_depression,212,7.632075471698113,7.983187869704521,0.0,42.0,4.0,1.7003855579895777,3.275376052130616
Total,DASS-21 Anxiety,dass_anxiety,212,5.613207547169812,5.917394640475453,0.0,28.0,4.0,1.3393539001243913,1.4962420762913053
Total,DASS-21 Stress,dass_stress,212,10.10377358490566,7.659123042970116,0.0,42.0,8.0,0.8813232677801001,0.7254846663498684
Total,Stroop Interference RT,stroop_interference,212,139.4661616695092,104.26386222396147,-94.169444443658,480.58873015959125,126.61484127514927,0.736520483219202,0.47536208567548055
Total,Stroop Interference RT Slope,stroop_interference_slope,212,-0.1310960858213698,61.662581782820695,-235.14087301588336,170.47859199124758,-2.8887500073245214,0.07156242220890317,0.7938555033181185
Total,WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,212,10.69543862806551,6.099151005418849,0.0,48.4375,9.938271604938272,1.96669140651806,7.821860235501456
Total,WCST Exploration RT (ms),wcst_exploration_rt,209,2007.0028967023013,613.2734696808624,536.0000000000127,4363.5999999940395,1932.449999999255,0.8435834713489593,1.312258708647886
Total,WCST Confirmation RT (ms),wcst_confirmation_rt,212,1875.5265356389418,515.2125289592448,939.1555555555582,4211.099999984105,1825.0722222202264,1.1412559623870138,2.5031266638770813
Total,WCST Exploitation RT (ms),wcst_exploitation_rt,212,1379.3290996821383,394.9814205643404,779.4190476196153,3804.479268292465,1330.1702380535148,2.5110933488160634,10.923855032389676
