metric,gender,r,p,n
WCST Composite,남성,0.11539121186965821,0.5364833212530831,31
WCST Composite,여성,-0.22760320391689623,0.12389597013773472,47
WCST PE Rate,남성,0.22464879014143935,0.22436792198674554,31
WCST PE Rate,여성,-0.2326915206180018,0.11549020289661112,47
Stroop Composite,남성,0.014370552019183577,0.9367356211072114,33
Stroop Composite,여성,0.07486510535813944,0.6015846709819686,51
PRP Composite,남성,0.36826421800097053,0.03809302361704421,32
PRP Composite,여성,0.07604626481600099,0.6074471255033885,48
Meta-Control Composite,남성,0.20318428399527522,0.2567616435825174,33
Meta-Control Composite,여성,-0.018428023236774043,0.8978714780933988,51
