outcome,zero_order_r,zero_order_p,partial_age_gender_r,partial_age_gender_p,partial_dass_r,partial_dass_p,partial_all_r,partial_all_p
Stroop 간섭,0.02919818706949629,0.8076408193949075,0.021254487090319837,0.8593403831828359,0.09497065263585391,0.4274603247514383,0.1135959150925022,0.3420595122939909
WCST 보속오류율,-0.09965377436939644,0.4049195946532965,-0.09612002080303299,0.4218630073095595,0.04935818387592697,0.6805305389114139,0.04096832950535522,0.7325862208802962
PRP 병목효과,0.05993966821333106,0.6169668544427461,0.0597442153534653,0.6181176739716638,-0.02367603596032871,0.8435071272448407,-0.030847631835419394,0.7970004430141929
