outcome,n,waic0,waic1,elpd_waic_diff,loo0,loo1,elpd_loo_diff,waic_diff,loo_diff
stroop_effect,156,-1411.4975269466142,-1411.7494080851868,-0.2518811385725712,-1411.5383106713366,-1411.8149912387357,-0.2766805673991257,,
prp_bottleneck,152,-2033.4177163661986,-2043.7199073946026,-10.302191028403968,-2001.355211793964,-2001.6377145998247,-0.2825028058607586,,
wcst_total_errors,47,,,,,,,,
