feature,importance_mean,importance_std
stroop_effect,0.5408211681536392,0.044044769572486986
stroop_accuracy,0.027725619067964027,0.003509410096041712
mrt_incong,0.03481983009591374,0.0037034621122143145
mrt_cong,0.055327678445982305,0.005883416838215327
mrt_total,0.032805847327218154,0.003031474769930687
stroop_ratio_incong_cong,0.04027668556415542,0.00475761983695624
prp_bottleneck,0.2216889102327583,0.019547519436541975
prp_rt_slope,0.20288703292388757,0.018995031182719554
prp_mrt_t1,0.1299850998369661,0.011082211729834507
prp_mrt_t2,0.09127467965238652,0.010117058642712643
prp_acc_t1,0.07471035344185255,0.008614709533097585
prp_acc_t2,0.034551854266480365,0.003646447090406715
wcst_total_errors,0.0,0.0
wcst_persev_errors,0.0,0.0
wcst_nonpersev_errors,0.0,0.0
wcst_conceptual_pct,0.0,0.0
wcst_persev_resp_pct,0.0,0.0
wcst_failure_to_maintain_set,0.0,0.0
