outcome,r_squared,adj_r_squared,AIC,BIC,p_value,nobs
Stroop interference (ms),0.13235384834640562,0.06200416037449252,972.5033447326473,989.2644888153544,0.2981834563159134,81
PRP bottleneck (short-long RT),0.18934173983607117,0.11985674610773445,995.2430708186919,1011.6497087716676,0.035421851595825275,77
WCST total errors,0.0730994846804105,-0.009906531616866276,604.5003366739335,620.6287923263627,0.19034821723602105,74
Latent meta-control factor,0.16093191293543607,0.08465299592956665,219.0789796491151,235.11219573715383,0.15596607513335292,73
