outcome,beta_female,se_female,p_female,beta_male,se_male,p_male,beta_interaction,p_interaction
Stroop Interference,11.232802817435234,21.20193904136674,0.5980833062389315,32.85381388326566,23.352139962761225,0.16429871578867594,21.621011065830423,0.3619215803811957
WCST Perseverative Error Rate,-0.30412433302624853,0.8578848705976061,0.7241260267172769,2.2902471330952143,1.2313104538052895,0.06748095229440132,2.594371466121463,0.004240485948217536
PRP Bottleneck Effect,-20.134545508778498,26.99497426568599,0.4584811496458796,41.10435067512927,42.04432926923439,0.3319319416237603,61.23889618390776,0.1431685140983135
