model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC,n
logreg,0.7252747252747253,0.5614035087719298,0.5333333333333333,0.5925925925925926,0.7170138888888888,0.6184181080778448,91
rf,0.7692307692307693,0.5116279069767442,0.6875,0.4074074074074074,0.8206018518518517,0.6767989554475176,91
gbrt,0.7692307692307693,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.8119212962962963,0.6793235079924804,91
