ef_variable,profile_1,profile_1_label,profile_2,profile_2_label,t_statistic,p_value,cohens_d
stroop_interference,0,저외로움-저우울,1,고외로움-고우울,0.7839629073234258,0.4384896275873468,0.4727474205723575
stroop_interference,0,저외로움-저우울,2,고외로움-고우울,-0.3026261118471741,0.7638252280879039,-0.12593034807596926
stroop_interference,0,저외로움-저우울,3,고외로움-고우울,-0.3019146082300483,0.7637611958877557,-0.07684648419282389
stroop_interference,1,고외로움-고우울,2,고외로움-고우울,-0.9900326539516783,0.35115342280914924,-0.6831874371163603
stroop_interference,1,고외로움-고우울,3,고외로움-고우울,-1.1222722915004295,0.27064886152321244,-0.6806339428394307
stroop_interference,2,고외로움-고우울,3,고외로움-고우울,0.1576021664039208,0.8757025630377635,0.06636902145433185
perseverative_error_rate,0,저외로움-저우울,1,고외로움-고우울,0.5252761943035871,0.6028001700022039,0.3167534632383303
perseverative_error_rate,0,저외로움-저우울,2,고외로움-고우울,1.1140946319693559,0.2722358591345355,0.4636028396132597
perseverative_error_rate,0,저외로움-저우울,3,고외로움-고우울,2.146560996909235,0.03588095713722668,0.54636530072181
perseverative_error_rate,1,고외로움-고우울,2,고외로움-고우울,0.40505723749223527,0.6960507126167188,0.2795160491557481
perseverative_error_rate,1,고외로움-고우울,3,고외로움-고우울,0.4033416621859615,0.689557311227381,0.2446180199976323
perseverative_error_rate,2,고외로움-고우울,3,고외로움-고우울,0.13357039234154736,0.8945297788821482,0.05624882219105803
prp_bottleneck,0,저외로움-저우울,1,고외로움-고우울,0.2053585790279405,0.8385165686276956,0.12383588256658655
prp_bottleneck,0,저외로움-저우울,2,고외로움-고우울,-0.16495750731075173,0.869851837798507,-0.06864297395420271
prp_bottleneck,0,저외로움-저우울,3,고외로움-고우울,0.5332818913735298,0.5958084176831573,0.1357365205877326
prp_bottleneck,1,고외로움-고우울,2,고외로움-고우울,-0.3829371571676344,0.7117407187415672,-0.2642517435538546
prp_bottleneck,1,고외로움-고우울,3,고외로움-고우울,-0.010320735695648472,0.9918337193820767,-0.006259303631332848
prp_bottleneck,2,고외로움-고우울,3,고외로움-고우울,0.6337595504072229,0.5304785283045229,0.26688720185522957
