,beta_mean,hdi_low,hdi_high,prob_positive
stroop,0.09245238883652268,-0.1415517245528533,0.3319759898920513,0.77825
prp,-0.015132739155060552,-0.2521079020794646,0.21645504776909555,0.45925
wcst,-0.07028461784444363,-0.30476173009900803,0.1677105549402435,0.281125
