model,RMSE,MAE,R2,n
ridge,8.425006025447761,6.893265924573346,0.47687005651361136,86
lasso,8.433027664315254,6.8908287820086604,0.4758734145648348,86
rf,8.376468507523727,6.645953377630121,0.4828803281564349,86
gbrt,9.153955856547036,7.333350123979366,0.3824291813016605,86
